0.0333333,0.0436556,0.415184
0.0666667,0.051688,0.41664
0.1,0.0602192,0.418363
0.133333,0.0691858,0.42037
0.166667,0.0784707,0.422676
0.2,0.0879836,0.425292
0.233333,0.0976413,0.428225
0.266667,0.107365,0.431479
0.3,0.117052,0.435058
0.333333,0.126639,0.43896
0.366667,0.136011,0.443181
0.4,0.145107,0.447715
0.433333,0.15383,0.452552
0.466667,0.162123,0.457679
0.5,0.16991,0.463083
0.533333,0.177097,0.468747
0.566667,0.183685,0.47465
0.6,0.189531,0.480773
0.633333,0.194677,0.487091
0.666667,0.199009,0.49358
0.7,0.202509,0.500214
0.733333,0.205182,0.506964
0.766667,0.207002,0.513803
0.8,0.207857,0.520703
0.833333,0.207875,0.527632
0.866667,0.206981,0.534561
0.9,0.205168,0.541461
0.933333,0.202492,0.548299
0.966667,0.198964,0.555049
1,0.194587,0.561681
1.03333,0.189425,0.568168
1.06667,0.183443,0.574482
1.1,0.176804,0.580597
1.13333,0.169407,0.58649
1.16667,0.161464,0.592137
1.2,0.152863,0.597519
1.23333,0.143804,0.602614
1.26667,0.134266,0.607408
1.3,0.124315,0.611883
1.33333,0.114031,0.616027
1.36667,0.103478,0.619828
1.4,0.0927061,0.623278
1.43333,0.0817734,0.626368
1.46667,0.0707763,0.629094
1.5,0.0597167,0.631453
1.53333,0.0486696,0.633443
1.56667,0.0377154,0.635066
1.6,0.0268882,0.636323
1.63333,0.0161809,0.637219
1.66667,0.00572026,0.637758
1.7,-0.00453114,0.637949
1.73333,-0.0144589,0.637798
1.76667,-0.0241774,0.637316
1.8,-0.0335079,0.63651
1.83333,-0.042538,0.635393
1.86667,-0.0512302,0.633975
1.9,-0.0596148,0.632268
1.93333,-0.0676256,0.630281
1.96667,-0.0753164,0.628026
2,-0.0826907,0.625516
2.03333,-0.0898147,0.622759
2.06667,-0.096606,0.619766
2.1,-0.103231,0.616545
2.13333,-0.10957,0.613104
2.16667,-0.115769,0.609452
2.2,-0.121863,0.605593
2.23333,-0.127839,0.601531
2.26667,-0.133783,0.59727
2.3,-0.139752,0.59281
