,t,ax,ay,az
0,0.0,0.150747,-0.075373,10.11147
1,0.004,0.150747,-0.075373,9.94457
2,0.008,0.294915,0.033499,9.94457
3,0.012,0.278763,0.0664,9.952347
4,0.016,0.099302,0.052642,9.969695
5,0.02,-0.016151,0.091525,9.999007
6,0.024,-0.016151,0.025124,10.027123
7,0.028,0.06999,-0.041276,10.019346
8,0.032,0.06999,-0.041276,10.01456
9,0.036000000000000004,0.160917,-0.189631,10.01456
10,0.04,0.153738,-0.151346,9.985846
11,0.044,0.117846,-0.16989,9.985846
12,0.048,0.004187,-0.232701,9.992427
13,0.052000000000000005,-0.004187,-0.212363,10.044471
14,0.056,0.108275,-0.241076,10.060622
15,0.06,0.015553,-0.170488,9.936794
16,0.064,-0.025722,-0.161515,10.027123
17,0.068,-0.044865,-0.08973,10.022935
18,0.07200000000000001,-0.135792,-0.034695,9.993025
19,0.076,-0.233898,0.022133,10.010971
20,0.08,-0.233898,0.064008,10.003793
21,0.084,-0.255433,0.064008,9.998409
22,0.088,-0.233898,0.0999,9.998409
23,0.092,-0.306281,0.095114,10.008578
24,0.096,-0.229112,0.096311,10.025328
25,0.1,-0.229112,0.150747,10.030712
26,0.10400000000000001,-0.032303,0.150747,9.989436
27,0.108,0.243469,0.147158,9.934999
28,0.112,0.285344,0.138783,9.960124
29,0.116,0.189032,-0.041276,9.960124
30,0.12,0.119641,-0.107078,9.979266
31,0.124,0.066999,-0.170488,10.016355
32,0.128,-0.022133,-0.184845,10.043872
33,0.132,0.010169,-0.224327,10.052247
34,0.136,0.050847,-0.142971,10.03789
35,0.14,0.144765,-0.101096,10.006185
36,0.14400000000000002,0.157926,-0.098105,9.994221
37,0.148,0.123828,-0.113659,10.003793
38,0.152,0.010169,-0.169292,10.022935
39,0.156,-0.128614,-0.192024,10.055836
40,0.16,-0.218345,-0.165702,10.078568
41,0.164,-0.226121,-0.137587,10.062417
42,0.168,-0.192024,-0.081954,10.086345
43,0.17200000000000001,-0.077766,-0.061016,10.049256
44,0.176,-0.081954,-0.06999,10.01815
45,0.18,-0.161515,0.101694,10.06122
46,0.184,-0.131605,0.20997,10.06481
47,0.188,-0.021535,0.13639,10.089336
48,0.192,0.04666,0.128614,9.991828
49,0.196,0.276371,0.052642,9.699306
