,t,ax,ay,az
0,0.0,-0.765105,2.837289,9.803394
1,0.00125,-0.754935,2.906681,9.799206
2,0.0025,-0.754935,2.906681,9.801599
3,0.00375,-0.74656,2.9671,9.801599
4,0.005,-0.74656,2.978465,9.739386
5,0.00625,-0.691525,2.978465,9.739386
6,0.0075,-0.683749,2.976073,9.701699
7,0.00875,-0.683749,2.976073,9.712466
8,0.01,-0.634696,2.988037,9.712466
9,0.01125,-0.604187,2.964707,9.61795
10,0.0125,-0.604187,2.906083,9.609575
11,0.01375,-0.610767,2.906083,9.609575
12,0.015,-0.622133,2.884547,9.58445
13,0.01625,-0.622133,2.884547,9.608379
14,0.0175,-0.614357,2.837289,9.608379
15,0.01875,-0.614357,2.837289,9.635896
16,0.02,-0.634696,2.836092,9.635896
17,0.02125,-0.634696,2.808575,9.668797
18,0.0225,-0.591027,2.808575,9.668797
19,0.02375,-0.591027,2.82353,9.695118
20,0.025,-0.662213,2.82353,9.695118
21,0.02625,-0.66999,2.78345,9.722636
22,0.0275,-0.66999,2.78345,9.688538
23,0.02875,-0.680159,2.732603,9.688538
24,0.03,-0.680159,2.723032,9.653842
25,0.03125,-0.629312,2.723032,9.622137
26,0.0325,-0.571286,2.630908,9.622137
27,0.03375,-0.568893,2.617747,9.568897
28,0.035,-0.568893,2.617747,9.570692
29,0.03625,-0.572482,2.598007,9.570692
30,0.0375,-0.572482,2.598007,9.515657
31,0.03875,-0.52642,2.614158,9.515657
32,0.04,-0.52642,2.625524,9.495916
33,0.04125,-0.495912,2.625524,9.471988
34,0.0425,-0.482751,2.649452,9.471988
35,0.043750000000000004,-0.482751,2.649452,9.500103
36,0.045,-0.494117,2.67039,9.480961
37,0.04625,-0.570688,2.657827,9.480961
38,0.0475,-0.570688,2.657827,9.530014
39,0.04875,-0.610169,2.689532,9.530014
40,0.05,-0.610169,2.789432,9.539585
41,0.051250000000000004,-0.689731,2.789432,9.590432
42,0.0525,-0.709471,2.8002,9.590432
43,0.05375,-0.709471,2.944368,9.686145
44,0.055,-0.723828,2.944368,9.745368
45,0.05625,-0.711266,3.000001,9.745368
46,0.0575,-0.711266,3.000001,9.780064
47,0.058750000000000004,-0.719641,2.999403,9.780064
48,0.06,-0.758524,2.993421,9.783653
49,0.06125,-0.758524,2.993421,9.810572
50,0.0625,-0.677168,3.02034,9.810572
51,0.06375,-0.677168,2.955734,9.793224
52,0.065,-0.608973,2.955734,9.793224
53,0.06625,-0.510269,2.984447,9.808179
54,0.0675,-0.510269,2.982055,9.809376
55,0.06875,-0.482751,2.982055,9.809376
56,0.07,-0.482751,3.034099,9.818947
57,0.07125000000000001,-0.470787,3.034099,9.818947
58,0.0725,-0.47976,3.104089,9.809974
59,0.07375,-0.47976,3.104089,9.801001
60,0.075,-0.480957,3.131008,9.801001
61,0.07625,-0.401395,3.09691,9.707681
62,0.0775,-0.401395,3.09691,9.747761
63,0.07875,-0.430109,3.004188,9.747761
64,0.08,-0.430109,2.966501,9.724431
65,0.08125,-0.400199,2.966501,9.724431
66,0.0825,-0.439082,2.930011,9.75793
67,0.08375,-0.439082,2.930011,9.75793
68,0.085,-0.431904,2.956332,9.756734
69,0.08625000000000001,-0.431904,2.956332,9.847661
70,0.08750000000000001,-0.474975,2.976671,9.847661
71,0.08875,-0.474975,3.064607,9.912267
72,0.09,-0.470787,3.064607,9.912267
73,0.09125,-0.457627,3.235096,9.963115
74,0.0925,-0.457627,3.235096,10.033105
75,0.09375,-0.481555,3.262015,10.033105
76,0.095,-0.481555,3.32363,9.984052
77,0.09625,-0.494117,3.32363,9.984052
78,0.0975,-0.476769,3.402593,9.970891
79,0.09875,-0.476769,3.402593,9.970891
