,t,ax,ay,az
0,0.0,-9.653244,1.512862,9.346963
1,0.004,-9.653244,1.512862,9.295517
2,0.008,-9.699306,1.604985,9.295517
3,0.012,-9.809376,1.622333,9.245268
4,0.016,-9.709475,1.607976,9.145367
5,0.02,-9.718448,1.469193,9.043673
6,0.024,-9.662815,1.351944,8.930013
7,0.028,-9.662815,1.286142,8.773882
8,0.032,-9.542576,1.286142,8.641678
9,0.036000000000000004,-9.433104,1.205982,8.499904
10,0.04,-9.339186,1.194616,8.421539
11,0.044,-9.230313,1.072582,8.376673
12,0.048,-9.07777,0.859023,8.376673
13,0.052000000000000005,-8.80439,1.028315,8.249255
14,0.056,-8.615955,1.074975,8.196015
15,0.06,-8.316853,1.172483,8.139784
16,0.064,-8.316853,1.172483,8.114659
17,0.068,-7.939983,1.143769,8.114659
18,0.07200000000000001,-7.616354,1.13001,8.088936
19,0.076,-7.366902,1.131206,8.048857
20,0.08,-7.118049,1.157527,8.061419
21,0.084,-6.870391,1.125823,8.040482
22,0.088,-6.639484,1.118046,8.090731
23,0.092,-6.467201,1.131805,8.144569
24,0.096,-6.467201,1.19342,8.159525
25,0.1,-6.341578,1.19342,8.282157
26,0.10400000000000001,-6.143572,1.316052,8.282157
27,0.108,-6.0006,1.423131,8.378468
28,0.112,-5.93061,1.53021,8.529814
29,0.116,-5.885147,1.630708,8.684749
30,0.12,-5.816353,1.639681,8.834899
31,0.124,-5.816353,1.564905,8.866604
32,0.128,-5.805585,1.536192,8.964111
33,0.132,-5.80738,1.536192,9.043673
34,0.136,-5.84387,1.54995,9.043673
35,0.14,-5.746961,1.505683,9.428319
36,0.14400000000000002,-5.775077,1.463211,9.428319
37,0.148,-5.775077,1.472184,9.457033
38,0.152,-5.65723,1.472184,9.457033
39,0.156,-4.782055,1.453639,9.336195
40,0.16,-4.782055,1.348953,9.261419
41,0.164,-4.572683,1.348953,9.261419
42,0.168,-4.281357,1.368096,9.188438
43,0.17200000000000001,-3.996013,1.366899,9.090333
44,0.176,-3.693919,1.213161,9.03111
45,0.18,-3.215355,1.268195,8.891728
46,0.184,-3.215355,1.156929,8.836693
47,0.188,-2.865405,1.156929,8.746364
48,0.192,-2.410768,1.172483,8.746364
49,0.196,-1.978864,1.204187,8.650651
50,0.2,-1.481157,1.180857,8.561519
51,0.20400000000000001,-0.967896,1.150947,8.488538
52,0.20800000000000002,-0.430109,1.257428,8.4676
53,0.212,0.166301,1.405185,8.42094
54,0.216,0.166301,1.459621,8.504091
55,0.22,0.590428,1.459621,8.580063
56,0.224,1.005583,1.434497,8.580063
57,0.228,1.332203,1.389631,8.648857
58,0.232,1.71685,1.488335,8.654241
59,0.23600000000000002,1.94357,1.526022,8.719445
60,0.24,1.94357,1.429113,8.818149
61,0.244,2.117648,1.429113,8.829515
62,0.248,2.423929,1.289731,8.829515
63,0.252,2.547757,1.128215,8.890532
64,0.256,2.604587,0.973878,8.932406
65,0.26,2.691327,0.936191,8.974281
66,0.264,2.813959,0.90987,8.987441
67,0.268,3.007179,0.878165,9.008977
68,0.272,3.214757,0.754337,9.025726
69,0.276,3.214757,0.690329,8.989834
70,0.28,3.531207,0.644865,8.924031
71,0.28400000000000003,3.531207,0.644865,8.880362
72,0.28800000000000003,3.709473,0.452841,8.811569
73,0.292,3.940978,0.452841,8.811569
74,0.296,4.2006,0.394217,8.626125
75,0.3,4.482354,0.318843,8.52443
76,0.304,4.771288,0.393021,8.452645
77,0.308,5.028516,0.50668,8.452645
78,0.312,5.294718,0.535992,8.476574
79,0.316,5.516054,0.562313,8.47777
80,0.32,5.682953,0.638883,8.460422
81,0.324,5.769693,0.604187,8.422137
82,0.328,5.888736,0.578464,8.438887
83,0.332,5.955735,0.499501,8.418548
84,0.336,5.888736,0.324825,8.425128
85,0.34,5.888736,0.15972,8.397012
86,0.34400000000000003,5.864209,0.15972,8.335995
87,0.34800000000000003,5.685944,0.079561,8.300103
88,0.352,5.569294,0.02991,8.252246
89,0.356,5.419144,0.0999,8.252246
90,0.36,5.324628,0.084346,8.249255
91,0.364,5.18046,0.03649,8.255836
92,0.368,5.078167,0.056829,8.303094
93,0.372,4.98724,0.032901,8.296514
94,0.376,4.893322,0.019142,8.266603
95,0.38,4.761716,-0.056829,8.272585
96,0.384,4.770091,-0.104087,8.241479
97,0.388,4.770091,-0.117248,8.229515
98,0.392,4.726422,-0.117248,8.217551
99,0.396,4.834099,-0.107677,8.233702
100,0.4,4.880161,-0.064008,8.233702
101,0.404,5.018347,-0.113659,8.193024
102,0.40800000000000003,5.062016,-0.166301,8.19422
103,0.41200000000000003,5.060221,-0.102293,8.196015
104,0.41600000000000004,5.166702,-0.229112,8.219345
105,0.42,5.376074,-0.155533,8.182855
106,0.424,5.376074,-0.048454,8.213961
