,t,ax,ay,az
0,0.0,0.269192,-0.555733,10.05464
1,0.00125,0.275772,-0.565902,10.082158
2,0.0025,0.329013,-0.637089,10.082158
3,0.00375,0.369691,-0.624526,10.09472
4,0.005,0.369691,-0.701097,10.105488
5,0.00625,0.319441,-0.701097,10.121041
6,0.0075,0.327816,-0.824327,10.121041
7,0.00875,0.260219,-0.863808,10.144371
8,0.01,0.212961,-0.772283,10.122237
9,0.01125,0.212961,-0.757328,10.065408
10,0.0125,0.278165,-0.757328,10.063613
11,0.01375,0.341575,-0.820738,10.063613
12,0.015,0.40319,-0.928415,10.042676
13,0.01625,0.497108,-0.993619,10.086943
14,0.0175,0.497108,-1.049252,10.046265
15,0.01875,0.517447,-1.11984,9.993623
16,0.02,0.550349,-1.103091,9.981061
17,0.02125,0.633499,-1.103091,9.949356
18,0.0225,0.707079,-1.077368,9.995418
19,0.02375,0.645463,-1.086939,9.995418
20,0.025,0.656829,-1.134796,9.979864
21,0.02625,0.640678,-1.133599,9.918847
22,0.0275,0.512064,-1.195214,9.896714
23,0.02875,0.512064,-1.26341,9.86142
24,0.03,0.410369,-1.369292,9.825527
25,0.03125,0.298504,-1.459621,9.809376
26,0.0325,0.244067,-1.459621,9.829715
27,0.03375,0.245264,-1.463211,9.853045
28,0.035,0.262612,-1.35673,9.853045
29,0.03625,0.295513,-1.368096,9.933204
30,0.0375,0.524626,-1.304686,9.951749
31,0.03875,0.644865,-1.328614,9.984052
32,0.04,0.644865,-1.259821,9.964909
33,0.04125,0.793818,-1.259821,9.964909
34,0.0425,0.832702,-1.222732,9.99123
35,0.043750000000000004,0.775872,-1.228714,9.976873
36,0.045,0.775872,-1.288534,9.934999
37,0.04625,0.754935,-1.288534,9.881759
38,0.0475,0.728016,-1.321436,9.881759
39,0.04875,0.771087,-1.358525,9.845268
40,0.05,0.771087,-1.425524,9.784849
41,0.051250000000000004,0.859023,-1.425524,9.740582
42,0.0525,0.980459,-1.469193,9.740582
43,0.05375,1.080957,-1.459023,9.767501
44,0.055,1.080957,-1.4668,9.773483
45,0.05625,1.115653,-1.4668,9.75135
46,0.0575,1.125224,-1.433898,9.75135
47,0.058750000000000004,1.024128,-1.348953,9.830911
48,0.06,1.024128,-1.294517,9.879964
49,0.06125,0.974477,-1.294517,9.859625
50,0.0625,0.935593,-1.25324,9.859625
51,0.06375,0.829711,-1.239482,9.895517
52,0.065,0.829711,-1.231705,9.88475
53,0.06625,0.813559,-1.231705,9.881759
54,0.0675,0.820139,-1.169492,9.881759
55,0.06875,0.889531,-1.048654,9.911071
56,0.07,0.889531,-1.048654,9.908678
57,0.07125000000000001,0.838086,-1.127019,9.908678
58,0.0725,0.869791,-1.138983,9.905687
59,0.07375,0.869791,-1.247856,9.883553
60,0.075,0.858425,-1.247856,9.855438
61,0.07625,0.788435,-1.271785,9.855438
62,0.0775,0.736989,-1.335195,9.783055
63,0.07875,0.736989,-1.335195,9.775876
64,0.08,0.63649,-1.463809,9.775876
65,0.08125,0.468395,-1.512263,9.746564
66,0.0825,0.468395,-1.514656,9.693324
67,0.08375,0.354735,-1.514656,9.687342
68,0.085,0.261415,-1.584048,9.687342
69,0.08625000000000001,0.130408,-1.638485,9.679565
70,0.08750000000000001,0.130408,-1.638485,9.625727
71,0.08875,0.131007,-1.675574,9.625727
72,0.09,0.093918,-1.747956,9.61137
73,0.09125,0.093918,-1.781456,9.583254
74,0.0925,0.107677,-1.781456,9.527023
75,0.09375,0.141774,-1.826321,9.527023
76,0.095,0.141774,-1.826321,9.451051
77,0.09625,0.15972,-1.788036,9.451051
78,0.0975,0.15972,-1.313061,8.569295
79,0.09875,-0.455832,-1.313061,8.569295
80,0.1,0.681356,-2.157129,9.656833
81,0.10125,0.681356,-2.157129,9.296714
82,0.10250000000000001,0.697507,-2.207977,9.296714
83,0.10375000000000001,0.697507,-1.877767,9.154341
84,0.105,0.772283,-1.877767,9.154341
85,0.10625,0.774676,-1.947757,9.138787
86,0.1075,0.774676,-1.947757,8.983852
87,0.10875,0.794417,-1.830509,8.983852
88,0.11,0.794417,-1.989033,9.122037
89,0.11125,0.784845,-1.989033,9.122037
90,0.1125,0.784845,-1.938186,9.147162
91,0.11375,0.929611,-1.938186,9.147162
92,0.115,1.007378,-1.827518,9.089136
93,0.11625,1.007378,-1.827518,9.191429
94,0.11750000000000001,0.994217,-1.815554,9.191429
95,0.11875000000000001,0.994217,-1.828714,9.196215
96,0.12,0.848255,-1.828714,9.196215
97,0.12125,0.678365,-1.724028,9.173483
98,0.1225,0.678365,-1.724028,9.153144
99,0.12375,0.565304,-1.691127,9.153144
100,0.125,0.565304,-1.734198,9.224929
101,0.12625,0.647856,-1.734198,9.224929
102,0.1275,0.647856,-1.618744,9.235098
103,0.12875,0.634097,-1.618744,9.29133
104,0.13,0.560518,-1.667199,9.29133
105,0.13125,0.560518,-1.585244,9.308678
106,0.1325,0.533599,-1.585244,9.308678
107,0.13375,0.467796,-1.469791,9.340981
108,0.135,0.467796,-1.469791,9.34457
109,0.13625,0.290727,-1.39322,9.34457
110,0.1375,0.290727,-1.335195,9.420542
111,0.13875,0.204586,-1.335195,9.420542
112,0.14,0.204586,-1.292722,9.431908
113,0.14125000000000001,0.204586,-1.292722,9.431908
114,0.14250000000000002,0.233898,-1.258026,9.45464
115,0.14375000000000002,0.233898,-1.258026,9.509077
116,0.145,0.532403,-1.244267,9.509077
117,0.14625,0.532403,-0.99661,9.486943
118,0.1475,0.44327,-0.99661,9.486943
119,0.14875,0.166899,-0.836889,9.518648
120,0.15,0.166899,-0.836889,9.574879
121,0.15125,0.14656,-0.929013,9.574879
122,0.1525,0.14656,-0.929013,9.636494
123,0.15375,0.145363,-0.992423,9.636494
124,0.155,0.145363,-0.876969,9.652048
125,0.15625,0.002991,-0.876969,9.652048
126,0.1575,-0.065204,-0.824327,9.64128
127,0.15875,-0.065204,-0.824327,9.66461
128,0.16,-0.041874,-0.731007,9.66461
129,0.16125,-0.041874,-0.736989,9.689136
130,0.1625,-0.05324,-0.736989,9.689136
131,0.16375,-0.0664,-0.763908,9.683154
132,0.165,-0.0664,-0.763908,9.708877
133,0.16625,-0.017946,-0.801595,9.708877
134,0.1675,-0.017946,-0.730409,9.680762
135,0.16875,-0.020338,-0.730409,9.680762
136,0.17,-0.020338,-0.720837,9.659824
137,0.17125,-0.11665,-0.720837,9.659824
138,0.17250000000000001,-0.15314,-0.717846,9.659226
139,0.17375000000000002,-0.15314,-0.717846,9.667003
140,0.17500000000000002,-0.190827,-0.754935,9.667003
141,0.17625,-0.190827,-0.649053,9.690333
142,0.1775,-0.248853,-0.649053,9.690333
143,0.17875,-0.19322,-0.725623,9.736993
144,0.18,-0.19322,-0.725623,9.742377
145,0.18125,-0.348155,-0.755533,9.742377
146,0.1825,-0.348155,-0.741775,9.757332
147,0.18375,-0.407378,-0.741775,9.757332
148,0.185,-0.4331,-0.798006,9.79143
149,0.18625,-0.4331,-0.798006,9.760921
150,0.1875,-0.391824,-0.711266,9.760921
151,0.18875,-0.391824,-0.711266,9.748359
152,0.19,-0.364307,-0.732801,9.748359
153,0.19125,-0.364307,-0.689132,9.797412
154,0.1925,-0.361316,-0.689132,9.747761
155,0.19375,-0.311665,-0.728016,9.747761
156,0.195,-0.311665,-0.728016,9.750153
157,0.19625,-0.296111,-0.750149,9.750153
158,0.1975,-0.296111,-0.750149,9.692127
159,0.19875,-0.314057,-0.76989,9.692127
160,0.2,-0.323031,-0.805184,9.675378
161,0.20125,-0.323031,-0.805184,9.668797
162,0.2025,-0.396012,-0.845862,9.668797
163,0.20375000000000001,-0.396012,-0.879362,9.647262
164,0.20500000000000002,-0.40319,-0.879362,9.647262
165,0.20625000000000002,-0.40319,-0.835095,9.641878
166,0.20750000000000002,-0.391824,-0.835095,9.641878
167,0.20875,-0.281156,-0.861416,9.646664
168,0.21,-0.281156,-0.861416,9.633503
169,0.21125,-0.192622,-0.891924,9.633503
170,0.2125,-0.192622,-0.900299,9.60778
171,0.21375,-0.092721,-0.900299,9.604789
172,0.215,-0.010767,-0.946361,9.604789
173,0.21625,-0.010767,-0.902094,9.597013
174,0.2175,0.117846,-0.902094,9.516853
175,0.21875,0.198604,-0.845862,9.516853
176,0.22,0.251844,-0.82672,9.478568
177,0.22125,0.251844,-0.82672,9.51446
178,0.2225,0.291326,-0.975075,9.51446
179,0.22375,0.291326,-0.991226,9.51446
180,0.225,0.270987,-0.991226,9.51446
181,0.22625,0.270987,-0.953539,9.512068
182,0.2275,0.236291,-0.953539,9.512068
183,0.22875,0.189032,-0.922433,9.567701
184,0.23,0.189032,-0.922433,9.567701
185,0.23125,0.121435,-0.843469,9.6347
186,0.2325,0.121435,-0.843469,9.674181
187,0.23375,0.084945,-0.789033,9.674181
188,0.23500000000000001,0.084945,-0.702293,9.746564
189,0.23625000000000002,0.050847,-0.702293,9.746564
190,0.23750000000000002,0.052043,-0.597009,9.823134
191,0.23875000000000002,0.052043,-0.597009,9.885946
192,0.24,0.084346,-0.504287,9.885946
193,0.24125,0.084346,-0.452841,9.970293
194,0.2425,0.055034,-0.452841,9.970293
195,0.24375,0.02991,-0.396012,10.023533
196,0.245,0.02991,-0.396012,10.029515
197,0.24625,0.065204,-0.32662,10.029515
198,0.2475,0.065204,-0.289531,10.032506
199,0.24875,0.030508,-0.289531,10.032506
200,0.25,0.030508,-0.331405,10.024132
201,0.25125000000000003,0.002392,-0.331405,10.024132
202,0.2525,-0.040079,-0.330209,10.03789
203,0.25375000000000003,-0.040079,-0.330209,10.010971
204,0.255,-0.11306,-0.329013,10.010971
205,0.25625,-0.11306,-0.346361,9.991828
206,0.2575,-0.125623,-0.346361,9.985248
207,0.25875,-0.186041,-0.452841,9.985248
208,0.26,-0.19322,-0.474975,9.940383
209,0.26125,-0.19322,-0.474975,9.923633
210,0.2625,-0.18664,-0.452841,9.923633
211,0.26375,-0.18664,-0.487537,9.952945
212,0.265,-0.298504,-0.487537,9.952945
213,0.26625,-0.368494,-0.432502,9.976873
214,0.2675,-0.368494,-0.360718,9.993025
215,0.26875,-0.336789,-0.360718,10.114461
216,0.27,-0.33978,-0.3332,10.114461
217,0.27125,-0.387637,-0.408574,10.188638
218,0.2725,-0.387637,-0.408574,10.212566
219,0.27375,-0.400199,-0.39003,10.212566
220,0.275,-0.374476,-0.29671,10.236495
221,0.27625,-0.374476,-0.29671,10.296913
222,0.2775,-0.375673,-0.291326,10.296913
223,0.27875,-0.375673,-0.253639,10.299904
224,0.28,-0.327218,-0.253639,10.299904
225,0.28125,-0.327218,-0.2333,10.346564
226,0.28250000000000003,-0.228514,-0.2333,10.346564
227,0.28375,-0.134596,-0.24646,10.35135
228,0.28500000000000003,-0.134596,-0.24646,10.339386
229,0.28625,-0.031106,-0.198604,10.339386
230,0.28750000000000003,-0.031106,-0.198604,10.350154
231,0.28875,0.019142,-0.189032,10.350154
232,0.29,0.019142,-0.189631,10.383653
233,0.29125,0.044267,-0.189631,10.383653
234,0.2925,0.044267,-0.189032,10.416554
235,0.29375,0.025722,-0.189032,10.416554
236,0.295,0.019142,-0.181256,10.440483
237,0.29625,0.019142,-0.181256,10.440483
238,0.2975,0.044267,-0.187238,10.475179
239,0.29875,0.044267,-0.187238,10.502696
240,0.3,0.014955,-0.156729,10.502696
241,0.30125,0.014955,-0.156729,10.532008
242,0.3025,0.040079,-0.125024,10.532008
243,0.30375,0.040079,-0.093918,10.53799
244,0.305,0.023928,-0.093918,10.53799
245,0.30625,0.023928,-0.100498,10.566106
246,0.3075,0.065802,-0.100498,10.58465
247,0.30875,0.041276,-0.128614,10.58465
248,0.31,0.097507,-0.109471,10.624132
249,0.31125,0.097507,-0.109471,10.650453
250,0.3125,0.190229,-0.059222,10.650453
251,0.31375000000000003,0.207577,-0.056829,10.703693
252,0.315,0.207577,-0.056829,10.707881
253,0.31625000000000003,0.232701,0.002392,10.707881
254,0.3175,0.259621,0.02991,10.715059
255,0.31875000000000003,0.259621,0.02991,10.71147
256,0.32,0.25304,0.041276,10.71147
257,0.32125,0.25304,0.041276,10.72822
258,0.3225,0.281156,0.02333,10.72822
259,0.32375,0.281156,0.05982,10.772487
260,0.325,0.266799,0.05982,10.772487
261,0.32625,0.22971,0.059222,10.780264
262,0.3275,0.22971,0.053838,10.823933
263,0.32875,0.247657,0.053838,10.823933
264,0.33,0.247657,0.020937,10.855637
265,0.33125,0.184845,0.020937,10.855637
266,0.3325,0.185443,0.046061,10.837093
267,0.33375,0.185443,0.046061,10.837093
268,0.335,0.203389,0.064008,10.801201
269,0.33625,0.203389,0.064008,10.841879
270,0.3375,0.236889,0.060418,10.841879
271,0.33875,0.236889,0.060418,10.856236
272,0.34,0.265005,0.103489,10.856236
