,t,ax,ay,az
0,0.0,1.20658,0.556331,10.759326
1,0.004,1.249053,0.538983,10.793424
2,0.008,1.249053,0.58325,10.78804
3,0.012,1.296311,0.58325,10.8347
4,0.016,1.376471,0.620339,10.8347
5,0.02,1.465603,0.631106,10.91486
6,0.024,1.505085,0.68315,10.968698
7,0.028,1.482951,0.691525,11.017751
8,0.032,1.482951,0.72323,11.102098
9,0.036000000000000004,1.45663,0.72323,11.151749
10,0.04,1.36331,0.75673,11.151749
11,0.044,1.329212,0.717846,11.207382
12,0.048,1.268794,0.71665,11.277971
13,0.052000000000000005,1.243669,0.726819,11.289935
14,0.056,1.188634,0.633499,11.265408
15,0.06,1.188634,0.569491,11.295319
16,0.064,1.156331,0.569491,11.282158
17,0.068,1.179063,0.588036,11.28814
18,0.07200000000000001,1.200598,0.592223,11.28814
19,0.076,1.268195,0.599402,11.28814
20,0.08,1.320838,0.592821,11.258828
21,0.084,1.335793,0.637687,11.266605
22,0.088,1.332203,0.658624,11.272587
23,0.092,1.347159,0.608375,11.316256
24,0.096,1.292124,0.603589,11.295917
25,0.1,1.292124,0.601196,11.297711
26,0.10400000000000001,1.28016,0.601196,11.280363
27,0.108,1.241276,0.632303,11.280363
28,0.112,1.249651,0.639481,11.260623
29,0.116,1.197607,0.592223,11.29472
30,0.12,1.12343,0.605384,11.253444
31,0.124,1.12343,0.564706,11.206186
32,0.128,1.127617,0.564706,11.156535
33,0.132,1.070788,0.502492,11.156535
34,0.136,1.060618,0.41994,11.117053
35,0.14,1.018744,0.43669,11.086545
36,0.14400000000000002,1.048654,0.535394,11.099107
37,0.148,1.048654,0.535394,11.106884
38,0.152,1.111466,0.594018,11.106884
39,0.156,1.160518,0.567697,11.145169
40,0.16,1.187438,0.573081,11.136196
41,0.164,1.145563,0.678365,11.121839
42,0.168,1.087537,0.710668,11.123634
43,0.17200000000000001,1.126421,0.702891,11.087143
44,0.176,1.063011,0.632303,11.073982
45,0.18,1.063011,0.632303,11.015957
46,0.184,1.043868,0.622732,11.015957
47,0.188,1.022333,0.614955,11.026126
48,0.192,1.008574,0.565304,10.974082
49,0.196,0.933799,0.527019,10.916056
50,0.2,0.918843,0.449252,10.901101
51,0.20400000000000001,0.935593,0.431904,10.835897
52,0.20800000000000002,0.935593,0.361914,10.789237
53,0.212,0.919442,0.361914,10.76471
54,0.216,0.854237,0.327816,10.76471
55,0.22,0.872183,0.249451,10.703095
56,0.224,0.900299,0.240478,10.673185
57,0.228,0.891924,0.284147,10.668997
58,0.232,0.870389,0.283549,10.612168
59,0.23600000000000002,0.899103,0.25663,10.587043
60,0.24,0.922433,0.266201,10.537392
61,0.244,0.922433,0.202193,10.526026
62,0.248,0.89013,0.210568,10.527223
63,0.252,0.884746,0.210568,10.491928
64,0.256,0.907477,0.195015,10.491928
65,0.26,0.91346,0.164506,10.45484
66,0.264,0.859621,0.174676,10.430911
67,0.268,0.842871,0.111864,10.426724
68,0.272,0.842871,0.047856,10.416554
69,0.276,0.884746,0.018544,10.393224
70,0.28,0.854237,0.018544,10.341181
71,0.28400000000000003,0.863808,0.02333,10.304092
72,0.28800000000000003,0.911665,0.004187,10.304092
73,0.292,0.784247,-0.064008,10.24786
74,0.296,0.760917,-0.065204,10.227521
75,0.3,0.69332,-0.113659,10.161719
76,0.304,0.726819,-0.171086,10.100702
77,0.308,0.734596,-0.15972,10.103693
78,0.312,0.734596,-0.16331,10.052247
79,0.316,0.702293,-0.16331,9.988837
80,0.32,0.772881,-0.220737,9.949954
81,0.324,0.795613,-0.129212,9.949954
82,0.328,0.865005,-0.175872,9.926624
83,0.332,0.807577,-0.21655,9.87458
84,0.336,0.807577,-0.262014,9.85125
85,0.34,0.760917,-0.288335,9.823733
86,0.34400000000000003,0.682552,-0.38644,9.830911
87,0.34800000000000003,0.634696,-0.334396,9.747761
88,0.352,0.654436,-0.394815,9.729216
89,0.356,0.620937,-0.414556,9.672985
90,0.36,0.628714,-0.477966,9.637691
91,0.364,0.628714,-0.477966,10.379466
92,0.368,0.681356,-0.825523,10.379466
93,0.372,0.516849,-0.562911,10.246664
94,0.376,0.643669,-0.497108,9.579067
95,0.38,0.805184,-0.486939,9.346365
96,0.384,0.893719,-0.507278,9.588638
97,0.388,0.943968,-0.448654,9.678967
98,0.392,0.943968,-0.500698,9.421738
99,0.396,0.843469,-0.500698,9.243473
100,0.4,0.893719,-0.51326,9.330213
101,0.404,0.838684,-0.585045,9.330213
102,0.40800000000000003,0.859023,-0.631705,9.440881
103,0.41200000000000003,0.77647,-0.661017,9.3679
104,0.41600000000000004,0.77647,-0.678963,9.285946
105,0.42,0.800399,-0.678963,9.195019
106,0.424,0.717846,-0.793818,9.133403
107,0.428,0.686141,-0.827318,9.100502
108,0.432,0.656829,-0.840478,9.100502
109,0.436,0.659222,-0.889531,9.046065
110,0.44,0.655633,-0.959521,8.939585
111,0.444,0.620339,-0.948155,8.901898
112,0.448,0.625723,-0.934397,8.85464
113,0.452,0.61316,-0.934397,8.873782
114,0.456,0.61316,-0.880558,8.876175
115,0.46,0.687936,-0.861416,8.894719
116,0.464,0.748953,-0.861416,8.835497
117,0.468,0.7334,-0.876969,8.835497
118,0.47200000000000003,0.772283,-0.894915,8.799006
119,0.47600000000000003,0.694516,-0.925424,8.725427
120,0.48,0.646062,-1.012762,8.700302
121,0.484,0.629312,-1.107278,8.670392
122,0.488,0.629312,-1.116849,8.654241
123,0.492,0.582054,-1.231107,8.592027
124,0.496,0.559322,-1.259821,8.578269
125,0.5,0.561116,-1.259821,8.578269
126,0.504,0.544367,-1.307677,8.45444
127,0.508,0.560518,-1.358525,8.45444
128,0.512,0.629312,-1.383649,8.359923
129,0.516,0.652642,-1.329212,8.313263
130,0.52,0.731605,-1.386042,8.276175
131,0.524,0.731605,-1.418345,8.243273
132,0.528,0.814157,-1.418345,8.243273
133,0.532,0.837487,-1.411765,8.263014
134,0.536,0.885344,-1.420738,8.274978
135,0.54,0.972084,-1.37348,8.260621
136,0.544,1.092921,-1.390229,8.289933
137,0.548,1.071386,-1.412363,8.270791
138,0.552,1.071386,-1.467996,8.296514
139,0.556,1.063609,-1.467996,8.296514
140,0.56,1.029511,-1.418943,8.304889
141,0.5640000000000001,0.999003,-1.47338,8.277371
142,0.5680000000000001,0.994815,-1.524826,8.28455
143,0.5720000000000001,0.975673,-1.512263,8.28455
144,0.5760000000000001,0.902094,-1.570289,8.198408
145,0.58,0.86321,-1.609771,8.207979
146,0.584,0.86321,-1.666002,8.190631
147,0.588,0.735194,-1.632503,8.1344
148,0.592,0.713659,-1.648654,8.126623
149,0.596,0.704686,-1.631905,8.073383
150,0.6,0.704686,-1.650449,8.060222
151,0.604,0.678963,-1.642074,8.050053
152,0.608,0.704686,-1.674377,8.09432
153,0.612,0.704686,-1.674377,8.04766
154,0.616,0.670588,-1.615753,8.04766
155,0.62,0.757926,-1.610369,8.093124
156,0.624,0.82313,-1.571486,8.083552
157,0.628,0.870987,-1.49671,8.072187
158,0.632,0.944566,-1.423729,8.053642
159,0.636,1.00319,-1.458425,8.045267
160,0.64,1.022931,-1.429711,8.063812
161,0.644,0.845264,-1.38664,8.062615
162,0.648,0.743569,-1.411765,8.063812
163,0.652,0.672383,-1.413559,8.038687
164,0.656,0.523429,-1.440479,8.05424
165,0.66,0.523429,-1.410568,8.045267
166,0.664,0.421136,-1.410568,8.028518
167,0.668,0.416949,-1.454237,8.028518
168,0.672,0.382253,-1.533201,8.095517
169,0.676,0.434895,-1.56012,8.145766
170,0.68,0.42652,-1.490728,8.179265
171,0.684,0.440877,-1.417747,8.207979
172,0.6880000000000001,0.53001,-1.404586,8.213363
173,0.6920000000000001,0.638883,-1.467398,8.265407
174,0.6960000000000001,0.829113,-1.40997,8.35454
175,0.7000000000000001,0.958325,-1.274178,8.398807
176,0.704,1.098903,-1.202991,8.414958
177,0.708,1.205982,-1.163509,8.496314
178,0.712,1.205982,-1.163509,8.621938
179,0.716,1.296311,-1.149751,8.621938
180,0.72,1.3334,-1.122233,8.782257
181,0.724,1.364507,-1.121037,8.863014
182,0.728,1.265204,-1.063011,8.899505
183,0.732,1.180259,-1.08335,8.924031
184,0.736,1.082752,-1.034297,8.924031
185,0.74,0.946959,-1.037886,9.003593
186,0.744,0.825523,-0.995414,9.099306
187,0.748,0.726221,-0.948754,9.116055
188,0.752,0.702293,-0.928415,9.203393
189,0.756,0.658026,-0.872183,9.294321
190,0.76,0.658026,-0.872183,9.346365
191,0.764,0.608973,-0.777667,9.346365
192,0.768,0.690329,-0.717248,9.394221
193,0.772,0.725025,-0.561715,9.48455
194,0.776,0.720837,-0.45643,9.586843
195,0.78,0.72981,-0.394217,9.707681
196,0.784,0.733998,-0.391824,9.76451
197,0.788,0.691525,-0.358923,9.853643
198,0.792,0.708275,-0.281754,9.956534
199,0.796,0.64008,-0.242871,10.074381
200,0.8,0.664008,-0.208175,10.097711
201,0.804,0.664008,-0.16331,10.165308
202,0.808,0.678963,-0.16331,10.165308
203,0.812,0.73998,-0.063409,10.199406
204,0.8160000000000001,0.851246,-0.024526,10.253843
205,0.8200000000000001,0.928415,0.022133,10.295119
206,0.8240000000000001,0.976869,0.078963,10.324431
207,0.8280000000000001,1.048056,0.12981,10.341779
208,0.8320000000000001,1.073779,0.174077,10.326225
209,0.836,1.140179,0.077766,10.306485
210,0.84,1.140179,0.077766,10.30469
211,0.844,1.108475,0.048454,10.30469
212,0.848,1.15334,-0.008973,10.317252
213,0.852,1.135394,0.009571,10.287342
214,0.856,1.113858,-0.089132,10.269994
215,0.86,1.054636,-0.135194,10.269396
216,0.864,1.054636,-0.135194,10.334002
217,0.868,1.027119,0.00658,10.372885
218,0.872,0.996012,0.00658,10.398608
219,0.876,1.033101,0.016151,10.398608
220,0.88,1.08335,0.010169,10.416554
221,0.884,1.085743,0.078963,10.429117
222,0.888,1.147358,0.150149,10.403394
223,0.892,1.112662,0.219541,10.407581
224,0.896,1.112662,0.283549,10.412367
225,0.9,1.110269,0.283549,10.403992
226,0.904,1.130608,0.428913,10.403992
227,0.908,1.120439,0.482153,10.481759
228,0.912,1.125823,0.506081,10.462616
229,0.916,1.104885,0.521635,10.491928
230,0.92,1.047458,0.522831,10.502098
231,0.924,0.972084,0.463011,10.526624
232,0.928,0.872183,0.421734,10.530214
233,0.932,0.766899,0.400199,10.519446
234,0.936,0.766899,0.399601,10.555936
235,0.9400000000000001,0.723828,0.399601,10.590632
236,0.9440000000000001,0.729212,0.410967,10.590632
