,t,ax,ay,az
0,0.0,1.296311,0.178265,9.867402
1,0.004166666666666667,1.296311,0.178265,9.883553
2,0.008333333333333333,1.291525,0.138185,9.871589
3,0.0125,1.269392,0.148355,9.871589
4,0.016666666666666666,1.26341,0.162113,9.849456
5,0.020833333333333332,1.319641,0.15314,9.873982
6,0.025,1.283749,0.141176,9.86142
7,0.029166666666666667,1.283749,0.122632,9.883553
8,0.03333333333333333,1.322034,0.154935,9.838688
9,0.0375,1.290329,0.154935,9.881759
10,0.041666666666666664,1.342373,0.166301,9.883553
11,0.04583333333333333,1.309472,0.144167,9.872786
12,0.05,1.334596,0.138783,9.872786
13,0.05416666666666667,1.281954,0.122632,9.893125
14,0.058333333333333334,1.316052,0.108275,9.877571
15,0.0625,1.316052,0.125623,9.890134
16,0.06666666666666667,1.271187,0.160917,9.851848
17,0.07083333333333333,1.319043,0.151346,9.872187
18,0.075,1.307677,0.151346,9.89791
19,0.07916666666666666,1.307677,0.104087,9.866803
20,0.08333333333333333,1.265803,0.172283,9.868598
21,0.0875,1.311864,0.145363,9.868598
22,0.09166666666666666,1.341775,0.145363,9.878768
23,0.09583333333333333,1.341775,0.162113,9.868
24,0.1,1.296909,0.154337,9.850054
25,0.10416666666666667,1.281356,0.154337,9.869196
26,0.10833333333333334,1.279561,0.128614,9.87458
27,0.1125,1.305882,0.132801,9.86142
28,0.11666666666666667,1.280758,0.148953,9.86142
29,0.12083333333333333,1.305284,0.165104,9.855438
30,0.125,1.274178,0.129212,9.857232
31,0.12916666666666665,1.27657,0.157926,9.879366
32,0.13333333333333333,1.27657,0.171086,9.896116
33,0.1375,1.313061,0.184845,9.845268
34,0.14166666666666666,1.319641,0.184845,9.845268
35,0.14583333333333334,1.317248,0.145363,9.885348
36,0.15,1.26341,0.159122,9.885348
37,0.15416666666666667,1.295713,0.134596,9.868598
38,0.15833333333333333,1.293918,0.154337,9.860821
39,0.1625,1.272383,0.16331,9.875777
40,0.16666666666666666,1.277767,0.138185,9.887142
41,0.17083333333333334,1.281356,0.139381,9.877571
42,0.175,1.302293,0.158524,9.856036
43,0.17916666666666667,1.274178,0.161515,9.872786
44,0.18333333333333332,1.267597,0.123828,9.883553
45,0.1875,1.280758,0.154935,9.877571
46,0.19166666666666665,1.301695,0.131007,9.866803
47,0.19583333333333333,1.296311,0.133399,9.87458
48,0.2,1.301695,0.174077,9.840482
49,0.20416666666666666,1.301695,0.151346,9.875777
50,0.20833333333333334,1.283749,0.151346,9.851848
51,0.2125,1.323829,0.148953,9.851848
52,0.21666666666666667,1.2999,0.154337,9.871589
53,0.22083333333333333,1.264606,0.131605,9.865009
54,0.225,1.324427,0.198006,9.886544
55,0.22916666666666666,1.290329,0.128614,9.866803
56,0.23333333333333334,1.272981,0.142372,9.848857
57,0.2375,1.268794,0.101694,9.877571
58,0.24166666666666667,1.313061,0.142971,9.862616
59,0.24583333333333332,1.313061,0.145363,9.86142
60,0.25,1.296311,0.145363,9.846464
61,0.25416666666666665,1.307079,0.154935,9.846464
62,0.2583333333333333,1.296311,0.133998,9.858429
63,0.2625,1.281954,0.132203,9.862018
64,0.26666666666666666,1.265204,0.157926,9.862018
65,0.2708333333333333,1.265204,0.131007,9.83809
66,0.275,1.226919,0.183649,9.867402
67,0.2791666666666667,1.2999,0.183649,9.85125
68,0.2833333333333333,1.265204,0.128016,9.85125
69,0.2875,1.293918,0.155533,9.870393
70,0.2916666666666667,1.332802,0.151346,9.842875
71,0.29583333333333334,1.322034,0.156131,9.898508
72,0.3,1.316052,0.13639,9.856634
73,0.30416666666666664,1.316052,0.12981,9.848857
74,0.30833333333333335,1.251446,0.138185,9.860223
75,0.3125,1.293918,0.138185,9.853643
76,0.31666666666666665,1.308275,0.161515,9.853643
77,0.3208333333333333,1.314257,0.151346,9.888339
78,0.325,1.302891,0.125623,9.870393
79,0.32916666666666666,1.293918,0.152542,9.863812
80,0.3333333333333333,1.281954,0.179461,9.882955
81,0.3375,1.258026,0.165702,9.865607
82,0.3416666666666667,1.258026,0.113659,9.869196
83,0.3458333333333333,1.30349,0.113659,9.866803
84,0.35,1.279561,0.158524,9.857232
85,0.3541666666666667,1.290329,0.195015,9.880562
86,0.35833333333333334,1.289133,0.117248,9.888937
87,0.3625,1.298704,0.157926,9.888937
88,0.36666666666666664,1.277169,0.13998,9.857232
89,0.37083333333333335,1.312463,0.157328,9.865009
90,0.375,1.312463,0.12981,9.869196
91,0.37916666666666665,1.298704,0.12981,9.869196
