,t,ax,ay,az
0,0.0,0.087338,-0.906879,10.000203
1,0.004,0.071186,-0.884147,10.007382
2,0.008,0.071186,-0.826122,10.016953
3,0.012,0.048454,-0.826122,10.017551
4,0.016,0.038883,-0.845264,10.017551
5,0.02,0.047856,-0.885942,10.000802
6,0.024,-0.025722,-0.805184,9.9679
7,0.028,-0.066999,-0.794417,9.953543
8,0.032,-0.066999,-0.833898,9.984052
9,0.036000000000000004,-0.058624,-0.85663,9.95474
10,0.04,-0.104087,-0.921236,9.943972
11,0.044,-0.053838,-0.872183,9.92124
12,0.048,-0.027517,-0.857228,9.92124
13,0.052000000000000005,-0.027517,-0.857228,9.914062
14,0.056,0.047258,-0.832702,9.914062
15,0.06,0.055633,-0.820738,9.911071
16,0.064,0.033499,-0.796211,9.934999
17,0.068,0.136989,-0.72323,9.946365
18,0.07200000000000001,0.136989,-0.679561,9.930811
19,0.076,0.105882,-0.679561,9.93799
20,0.08,0.163908,-0.694516,9.93799
21,0.084,0.11665,-0.739382,9.928419
22,0.088,0.156729,-0.755533,9.9679
23,0.092,0.15314,-0.745364,10.009775
24,0.096,0.114855,-0.779461,10.001998
25,0.1,0.077168,-0.772283,10.054042
26,0.10400000000000001,0.077168,-0.791426,10.110871
27,0.108,0.026321,-0.791426,10.110871
28,0.112,-0.020338,-0.851844,10.153344
29,0.116,-0.0664,-0.843469,10.195817
30,0.12,-0.025722,-0.83988,10.240682
31,0.124,-0.029312,-0.811166,10.266405
32,0.128,-0.05982,-0.813559,10.3346
33,0.132,-0.05982,-0.813559,10.359127
34,0.136,-0.079561,-0.83988,10.366903
35,0.14,-0.07657,-0.827916,10.335797
36,0.14400000000000002,-0.022133,-0.827916,10.297512
37,0.148,-0.052043,-0.771685,10.297512
38,0.152,-0.080159,-0.808175,10.31127
39,0.156,-0.208175,-0.833898,10.335797
40,0.16,-0.185443,-0.918245,10.335797
41,0.164,-0.259621,-0.89671,10.335199
42,0.168,-0.306879,-0.84646,10.343573
43,0.17200000000000001,-0.282353,-0.82672,10.339386
44,0.176,-0.301495,-0.81655,10.32802
45,0.18,-0.340379,-0.737587,10.328618
46,0.184,-0.388833,-0.783649,10.339984
47,0.188,-0.312861,-0.806381,10.328618
48,0.192,-0.247058,-0.745364,10.275378
49,0.196,-0.249451,-0.852443,10.293324
50,0.2,-0.276371,-0.808774,10.275976
51,0.20400000000000001,-0.276371,-0.800997,10.252646
52,0.20800000000000002,-0.200398,-0.731605,10.168299
53,0.212,-0.202193,-0.835693,10.142576
54,0.216,-0.259621,-0.897308,10.089934
55,0.22,-0.259621,-0.865005,10.036096
56,0.224,-0.232701,-0.881755,9.953543
57,0.228,-0.232701,-0.881755,9.987043
58,0.232,-0.257826,-0.87996,9.986445
59,0.23600000000000002,-0.288335,-0.87996,10.028319
60,0.24,-0.279362,-0.872782,10.063015
61,0.244,-0.275772,-0.872782,10.063015
62,0.248,-0.282951,-0.882951,10.113264
63,0.252,-0.175274,-0.843469,10.145567
64,0.256,-0.08973,-0.892522,10.197013
65,0.26,-0.109471,-0.837487,10.296913
66,0.264,-0.113659,-0.854835,10.326225
67,0.268,-0.0999,-0.83988,10.369296
68,0.272,-0.0999,-0.867996,10.336395
69,0.276,-0.061615,-0.867996,10.336395
70,0.28,-0.034695,-0.873978,10.210772
71,0.28400000000000003,-0.075972,-0.891924,10.183254
72,0.28800000000000003,-0.084945,-0.947557,10.086345
73,0.292,-0.082552,-0.947557,10.086345
74,0.296,-0.122632,-0.970887,10.077372
75,0.3,-0.084945,-1.027119,10.03131
76,0.304,-0.02333,-1.10668,10.048658
77,0.308,0.094516,-1.088136,10.051051
78,0.312,0.085543,-1.088136,10.051051
79,0.316,0.140578,-1.059422,10.083952
80,0.32,0.20997,-1.074975,10.08455
81,0.324,0.2333,-1.148554,10.08455
82,0.328,0.232701,-1.200598,10.079765
83,0.332,0.251844,-1.166501,10.098907
84,0.336,0.138783,-1.179063,10.152148
85,0.34,0.144167,-1.231107,10.152148
86,0.34400000000000003,0.134596,-1.242473,10.127621
87,0.34800000000000003,0.113659,-1.2999,10.194022
88,0.352,0.066999,-1.348355,10.205986
89,0.356,0.050847,-1.378265,10.240682
90,0.36,0.090329,-1.39681,10.273583
91,0.364,0.110668,-1.470389,10.317851
92,0.368,0.110668,-1.512862,10.346564
93,0.372,0.166301,-1.534995,10.383055
94,0.376,0.166301,-1.534995,10.42134
95,0.38,0.153738,-1.534995,10.434501
96,0.384,0.207577,-1.430907,10.434501
97,0.388,0.212961,-1.356132,10.545169
98,0.392,0.251246,-1.374676,10.614561
99,0.396,0.355334,-1.296311,10.686345
100,0.4,0.410369,-1.224526,10.758728
101,0.404,0.417547,-1.023529,10.780264
102,0.40800000000000003,0.477368,-1.052243,10.843673
103,0.41200000000000003,0.518046,-1.14676,10.837093
104,0.41600000000000004,0.446859,-1.109671,10.864012
105,0.42,0.394217,-1.203589,10.820942
106,0.424,0.407976,-1.325623,10.779665
107,0.428,0.320638,-1.312463,10.687542
108,0.432,0.084945,-1.480558,10.670194
109,0.436,-0.016151,-1.644467,10.674979
110,0.44,-0.156729,-1.709671,10.522437
111,0.444,-0.323629,-1.745564,10.439286
112,0.448,-0.511465,-1.718046,10.436893
113,0.452,-0.511465,-1.718046,10.436893
114,0.456,-0.555134,-1.678565,10.476973
115,0.46,-0.592821,-1.587039,10.523035
116,0.464,-0.608973,-1.468594,10.559526
117,0.468,-0.608973,-1.26999,10.688738
118,0.47200000000000003,-0.574277,-1.26999,10.801799
119,0.47600000000000003,-0.467796,-1.141376,10.801799
120,0.48,-0.342771,-1.040877,10.85145
121,0.484,-0.215952,-0.963709,10.868798
122,0.488,-0.168693,-0.980459,10.896914
123,0.492,-0.168693,-0.924227,10.914262
124,0.496,-0.105284,-0.924227,10.943574
125,0.5,-0.003589,-0.978066,10.883753
126,0.504,0.072981,-1.045065,10.833504
127,0.508,0.072981,-1.203589,10.744371
128,0.512,0.096909,-1.217946,10.602596
129,0.516,0.096311,-1.217946,10.602596
130,0.52,0.057427,-1.320838,10.542776
131,0.524,-0.040079,-1.383051,10.448259
132,0.528,-0.069391,-1.485942,10.365707
133,0.532,-0.132801,-1.517647,10.295717
134,0.536,-0.132801,-1.447059,10.237093
135,0.54,-0.197407,-1.447059,10.30469
136,0.544,-0.20638,-1.460818,10.30469
137,0.548,-0.412163,-1.415354,10.633105
138,0.552,0.064008,-1.573879,10.179067
139,0.556,0.251844,-1.479362,10.60798
140,0.56,0.251844,-1.230509,10.378269
141,0.5640000000000001,0.333798,-1.230509,10.378269
142,0.5680000000000001,0.384646,-1.153938,10.442277
143,0.5720000000000001,0.442672,-1.287338,10.670194
144,0.5760000000000001,0.538983,-1.353739,10.418349
145,0.58,0.556929,-1.370489,10.402198
146,0.584,0.590428,-1.436889,10.524232
147,0.588,0.590428,-1.472184,10.529017
148,0.592,0.579661,-1.472184,10.468598
149,0.596,0.515653,-1.475175,10.472786
150,0.6,0.467796,-1.437488,10.372287
151,0.604,0.388235,-1.408176,10.372287
152,0.608,0.222532,-1.33998,10.290931
153,0.612,0.114855,-1.347159,10.336395
154,0.616,0.011964,-1.368096,10.366903
155,0.62,0.011964,-1.368096,10.333404
156,0.624,-0.021535,-1.35015,10.333404
157,0.628,-0.030508,-1.322034,10.264012
158,0.632,-0.051445,-1.280758,10.216754
159,0.636,-0.050249,-1.302891,10.255039
160,0.64,-0.046061,-1.344168,10.28136
161,0.644,-0.088534,-1.284347,10.27478
162,0.648,-0.088534,-1.245464,10.18804
163,0.652,-0.177667,-1.307677,10.18146
164,0.656,-0.247657,-1.307677,10.18146
165,0.66,-0.292522,-1.400997,10.1348
166,0.664,-0.271585,-1.447657,10.112068
167,0.668,-0.253639,-1.496112,9.949356
168,0.672,-0.327218,-1.519442,9.760323
169,0.676,-0.327218,-1.7001,9.699904
170,0.68,-0.428315,-1.7001,9.699904
171,0.684,-0.413958,-1.828116,9.413962
172,0.6880000000000001,-0.367896,-1.834696,9.413962
173,0.6920000000000001,-0.33978,-1.842473,9.288339
174,0.6960000000000001,-0.264406,-1.992623,9.245268
175,0.7000000000000001,-0.229112,-1.98664,9.201599
176,0.704,-0.229112,-1.942373,9.193822
177,0.708,-0.161515,-1.759322,9.159724
178,0.712,-0.140578,-1.759322,9.223134
179,0.716,0.011964,-1.55354,9.223134
180,0.72,0.135194,-1.692323,9.336793
181,0.724,0.251844,-1.572084,9.403194
182,0.728,0.254237,-1.399801,9.435497
183,0.732,0.308075,-1.315454,9.485148
184,0.736,0.375074,-1.353141,9.573683
185,0.74,0.375074,-1.324427,9.605986
186,0.744,0.420538,-1.324427,9.605986
187,0.748,0.416351,-1.279561,9.655039
188,0.752,0.434297,-1.353739,9.655039
189,0.756,0.463011,-1.354337,9.61795
190,0.76,0.469591,-1.411167,9.605986
191,0.764,0.458225,-1.415952,9.57787
192,0.768,0.458225,-1.381256,9.540183
193,0.772,0.478564,-1.381256,9.543174
194,0.776,0.553938,-1.378265,9.543174
195,0.78,0.572482,-1.45005,9.499505
196,0.784,0.597607,-1.47996,9.499505
197,0.788,0.653838,-1.48355,9.469595
198,0.792,0.68315,-1.531406,9.363713
199,0.796,0.732203,-1.567298,9.306285
200,0.8,0.732203,-1.678565,9.268598
201,0.804,0.770488,-1.678565,9.242875
202,0.808,0.853639,-1.73001,9.191429
203,0.812,0.868594,-1.831107,9.191429
204,0.8160000000000001,0.838086,-1.851446,9.160323
205,0.8200000000000001,0.821934,-1.892124,9.15135
206,0.8240000000000001,0.793818,-1.853241,9.212965
207,0.8280000000000001,0.793818,-1.870589,9.272785
208,0.8320000000000001,0.853639,-1.870589,9.276375
209,0.836,0.796809,-1.911865,9.276375
210,0.84,0.74656,-1.838884,9.306285
211,0.844,0.842273,-1.832902,9.330213
212,0.848,0.857826,-1.804188,9.346365
213,0.852,0.901495,-1.808375,9.33799
214,0.856,0.948155,-1.817946,9.29791
215,0.86,0.952343,-1.815554,9.277571
216,0.864,0.952343,-1.888535,9.256634
217,0.868,0.99003,-1.919043,9.208179
218,0.872,1.031904,-1.921436,9.217152
219,0.876,1.164108,-1.893919,9.221938
220,0.88,1.18684,-1.902293,9.216554
221,0.884,1.18684,-1.970489,9.225527
222,0.888,1.235294,-1.970489,9.262018
223,0.892,1.260419,-2.015953,9.262018
224,0.896,1.232303,-2.035693,9.253643
225,0.9,1.238883,-2.077568,9.25783
226,0.904,1.238883,-2.004587,9.25125
227,0.908,1.26999,-2.060818,9.269196
228,0.912,1.259821,-2.041077,9.29791
229,0.916,1.259821,-2.063809,9.271589
230,0.92,1.244267,-2.063809,9.263214
231,0.924,1.223928,-2.082952,9.263214
232,0.928,1.167697,-2.144567,9.232107
233,0.932,1.157527,-2.20678,9.21775
234,0.936,1.098903,-2.202593,9.238688
235,0.9400000000000001,1.050449,-2.172084,9.267401
236,0.9440000000000001,0.993619,-2.252842,9.267401
237,0.9480000000000001,0.94995,-2.336591,9.258428
238,0.9520000000000001,0.94995,-2.319243,9.291928
239,0.9560000000000001,0.915852,-2.295913,9.309276
240,0.96,0.901495,-2.31027,9.31107
241,0.964,0.912263,-2.31027,9.31107
242,0.968,0.967896,-2.292324,9.299106
243,0.972,0.999003,-2.288734,9.223732
244,0.976,1.013958,-2.304288,9.186644
245,0.98,1.013958,-2.296511,9.126225
246,0.984,1.076171,-2.296511,9.065806
247,0.988,1.039681,-2.30668,9.065806
248,0.992,1.005583,-2.282752,9.043074
249,0.996,0.944566,-2.350948,8.966504
250,1.0,0.934397,-2.394019,8.906683
251,1.004,0.918843,-2.417349,8.817551
252,1.008,0.871585,-2.48016,8.71765
253,1.012,0.841675,-2.511865,8.685347
254,1.016,0.851246,-2.511267,8.673981
255,1.02,0.851246,-2.499901,8.65783
256,1.024,0.900299,-2.499901,8.655437
257,1.028,0.904486,-2.425723,8.655437
258,1.032,0.923629,-2.367099,8.688338
259,1.036,0.996012,-2.285145,8.725427
260,1.04,1.085743,-2.171486,8.74098
261,1.044,1.048056,-2.154138,8.800801
262,1.048,1.068395,-2.078764,8.807979
263,1.052,1.163509,-2.062014,8.776275
264,1.056,1.158126,-2.084746,8.730213
265,1.06,1.182054,-2.151147,8.761918
266,1.064,1.11984,-2.108076,8.688338
267,1.068,1.077966,-2.184647,8.666205
268,1.072,1.077966,-2.274976,8.641678
269,1.076,1.018146,-2.274976,8.640482
270,1.08,0.920638,-2.330011,8.640482
271,1.084,0.929611,-2.31027,8.619545
272,1.088,0.915852,-2.336591,8.648259
273,1.092,0.888933,-2.292922,8.637491
274,1.096,0.99003,-2.246262,8.705686
275,1.1,0.99003,-2.246262,8.727222
276,1.104,0.996012,-2.272583,8.727222
277,1.108,0.97986,-2.208575,8.734998
278,1.112,0.980459,-2.151745,8.754739
279,1.116,0.987039,-2.194816,8.809774
280,1.12,0.987039,-2.20678,8.808578
281,1.124,1.001396,-2.24028,8.848059
282,1.1280000000000001,1.001396,-2.264208,8.825926
283,1.1320000000000001,1.059422,-2.327019,8.845666
284,1.1360000000000001,1.071984,-2.327019,8.834301
285,1.1400000000000001,1.033101,-2.392822,8.834301
286,1.1440000000000001,1.035493,-2.429313,8.816953
287,1.1480000000000001,0.964307,-2.436491,8.849256
288,1.1520000000000001,0.958325,-2.454437,8.874979
289,1.156,0.870389,-2.440679,8.874979
290,1.16,0.870389,-2.429911,8.885746
291,1.164,0.870389,-2.447259,8.96112
292,1.168,0.794417,-2.447259,8.964709
293,1.172,0.766899,-2.340778,8.964709
294,1.176,0.867398,-2.373081,9.013762
295,1.18,0.837487,-2.335993,9.056833
296,1.184,0.87338,-2.350349,9.022137
297,1.188,0.87338,-2.319243,9.040083
298,1.192,0.896112,-2.319243,9.065208
299,1.196,0.877567,-2.338385,9.065208
300,1.2,0.897308,-2.400599,9.084949
301,1.204,0.835693,-2.450848,9.090333
302,1.208,0.822532,-2.430509,9.103493
303,1.212,0.784845,-2.354537,9.109475
304,1.216,0.801595,-2.410768,9.156135
305,1.22,0.756131,-2.377867,9.183054
306,1.224,0.723828,-2.359921,9.229714
307,1.228,0.723828,-2.312064,9.290133
308,1.232,0.75314,-2.248655,9.326026
309,1.236,0.75314,-2.248655,9.378668
310,1.24,0.795613,-2.146361,9.366105
311,1.244,0.881755,-2.07697,9.366105
312,1.248,0.948155,-2.105683,9.44806
313,1.252,1.014556,-2.01356,9.44806
314,1.256,0.981655,-1.962114,9.458827
315,1.26,0.906879,-1.972284,9.464211
316,1.264,0.828514,-2.012363,9.507282
317,1.268,0.771685,-2.053639,9.515657
318,1.272,0.703489,-2.094916,9.528817
319,1.276,0.667597,-2.130808,9.486943
320,1.28,0.597607,-2.115853,9.49472
321,1.284,0.571884,-2.14696,9.403792
322,1.288,0.571884,-2.127219,9.412167
323,1.292,0.59342,-2.173281,9.382257
324,1.296,0.682552,-2.173281,9.345766
325,1.3,0.815952,-2.210369,9.31107
326,1.304,0.941575,-2.217548,9.31107
327,1.308,0.942772,-2.201994,9.329017
328,1.312,1.071984,-2.17687,9.360722
329,1.316,1.245464,-2.117648,9.431908
330,1.32,1.476969,-2.109273,9.541978
331,1.324,1.235892,-1.814955,9.47139
332,1.328,1.235892,-1.814955,9.637691
333,1.332,1.418943,-1.938186,9.688538
334,1.336,1.185643,-1.938186,9.688538
335,1.34,1.147358,-1.99023,9.875178
336,1.344,1.155135,-1.944766,9.893125
337,1.348,1.030708,-1.984846,9.82134
338,1.352,1.030708,-2.014158,9.763314
339,1.356,1.072582,-2.014158,9.763314
340,1.36,1.2335,-1.993819,9.715457
341,1.364,0.99661,-2.034497,9.65444
342,1.368,0.855434,-1.991426,9.680762
343,1.372,0.926022,-2.048256,9.784251
344,1.3760000000000001,0.841077,-2.015354,9.713065
345,1.3800000000000001,0.841077,-2.015354,9.63111
346,1.3840000000000001,0.858425,-2.107478,9.63111
347,1.3880000000000001,0.727418,-2.145165,9.549156
348,1.3920000000000001,0.525224,-2.131406,9.582058
349,1.3960000000000001,0.486939,-2.112862,9.623334
350,1.4000000000000001,0.384048,-2.070987,9.701699
351,1.4040000000000001,0.384048,-1.952543,9.759126
352,1.408,0.325423,-1.952543,9.759126
353,1.412,0.400797,-1.82692,9.842875
354,1.416,0.517447,-1.74018,9.842875
355,1.42,0.599402,-1.719243,9.917053
356,1.424,0.633499,-1.572084,9.924829
357,1.428,0.620339,-1.547558,9.958329
358,1.432,0.64666,-1.53679,9.954142
359,1.436,0.655035,-1.506281,9.92782
360,1.44,0.624526,-1.542772,9.886544
361,1.444,0.624526,-1.584048,9.842277
362,1.448,0.520438,-1.584048,9.773483
363,1.452,0.341575,-1.688734,9.773483
364,1.456,0.215354,-1.727617,9.800403
365,1.46,0.035294,-1.805982,9.735198
366,1.464,-0.050847,-1.934597,9.726225
367,1.468,-0.171086,-1.940579,9.697511
368,1.472,-0.126819,-1.88674,9.684351
369,1.476,-0.126819,-1.88674,9.695717
370,1.48,-0.046061,-1.88016,9.695717
371,1.484,0.095114,-1.808973,9.677172
372,1.488,0.252442,-1.692921,9.692127
