,t,ax,ay,az
0,0.0,1.870589,0.668195,9.968498
1,0.00125,1.874178,0.668195,9.968498
2,0.0025,1.728814,0.717248,9.911669
3,0.00375,1.728814,0.502492,9.457631
4,0.005,1.474576,0.502492,6.43071
5,0.00625,1.692323,1.054636,6.43071
6,0.0075,1.603191,0.699302,11.133205
7,0.00875,1.678565,1.014556,9.312865
8,0.01,1.678565,1.014556,8.781658
9,0.01125,1.330409,1.028315,8.781658
10,0.0125,1.374078,0.631106,7.570292
11,0.01375,1.374078,0.468993,8.180462
12,0.015,1.155733,0.337387,8.918648
13,0.01625,0.970289,0.337387,9.294919
14,0.0175,-0.050847,0.16331,7.619943
15,0.01875,0.145962,0.002991,7.619943
16,0.02,0.777667,-0.633499,8.756534
17,0.02125,0.777667,0.011365,8.334799
18,0.0225,-0.329611,0.011365,8.334799
19,0.02375,-0.471984,0.285344,8.845666
20,0.025,-0.471984,0.160319,8.803792
21,0.02625,-0.784247,0.160319,8.624929
22,0.0275,-0.741176,-0.269192,8.624929
23,0.02875,-0.698704,-0.785444,8.871987
24,0.03,-0.698704,-0.867398,9.796813
25,0.03125,-0.247058,-0.867398,9.868598
26,0.0325,3.82373,2.724826,9.868598
27,0.03375,-0.867996,-1.499701,2.160718
28,0.035,-0.867996,-1.858624,12.605987
29,0.03625,-0.626321,-1.858624,7.951947
30,0.0375,0.108275,-1.442872,7.951947
31,0.03875,1.466202,-2.642872,6.794419
32,0.04,1.466202,-3.211766,8.455038
33,0.04125,0.522831,-3.211766,8.764909
34,0.0425,-0.168693,-2.39342,9.023334
35,0.043750000000000004,-0.162711,-2.486142,8.703892
36,0.045,-0.119641,-2.874976,8.735597
37,0.04625,-0.135792,-3.171088,8.736793
38,0.0475,-0.2333,-3.726222,8.816354
39,0.04875,-0.223728,-4.095914,8.715856
40,0.05,0.039481,-4.095914,8.659026
41,0.051250000000000004,0.001794,-4.14377,8.659026
42,0.0525,-0.105882,-4.043271,8.723034
43,0.05375,-0.105882,-4.264009,8.714061
44,0.055,0.040677,-4.453042,8.502895
45,0.05625,0.11665,-4.52722,8.608777
46,0.0575,0.28654,-4.619344,8.517252
47,0.058750000000000004,0.218943,-4.684548,8.585447
48,0.06,0.410967,-4.801796,8.734998
49,0.06125,0.433699,-4.86401,8.819345
50,0.0625,0.479162,-4.852644,8.816953
51,0.06375,0.539581,-4.837689,8.816953
52,0.065,0.549152,-4.931009,8.945567
53,0.06625,0.611366,-4.931009,8.93121
54,0.0675,0.658026,-4.963312,8.982656
55,0.06875,0.792622,-4.919643,9.033503
56,0.07,0.936191,-4.784448,9.032307
57,0.07125000000000001,0.918843,-4.800002,9.032307
58,0.0725,0.850648,-4.828117,8.968299
59,0.07375,0.925424,-4.831707,8.946763
60,0.075,1.016949,-4.920839,8.887541
61,0.07625,0.664606,-5.318048,8.292924
62,0.0775,0.803988,-4.803591,8.720043
63,0.07875,0.803988,-4.95733,9.023932
64,0.08,1.325623,-4.758127,8.709276
65,0.08125,1.26999,-4.509274,8.737989
66,0.0825,1.118644,-4.332205,8.919844
67,0.08375,0.964307,-4.332205,8.98445
68,0.085,0.94995,-4.250849,9.1346
69,0.08625000000000001,0.876969,-4.132404,9.192626
70,0.08750000000000001,0.809372,-4.014558,9.226125
71,0.08875,0.813559,-3.815953,9.226125
72,0.09,0.798604,-3.67717,9.281758
73,0.09125,0.806979,-3.596412,9.36132
74,0.0925,0.681954,-3.582055,9.391828
75,0.09375,0.506081,-3.529413,9.442077
76,0.095,0.506081,-3.611965,9.426524
77,0.09625,0.393619,-3.524627,9.409176
78,0.0975,0.350548,-3.836891,9.272187
79,0.09875,0.412163,-3.888934,9.21117
80,0.1,0.537188,-3.831507,9.708877
81,0.10125,0.010767,-3.831507,9.450452
82,0.10250000000000001,0.329013,-3.566502,9.379864
83,0.10375000000000001,-0.074775,-3.195016,9.495916
84,0.105,0.191425,-2.967698,9.483354
85,0.10625,0.067597,-3.027518,9.196215
86,0.1075,-0.358325,-2.871985,9.065806
87,0.10875,0.571884,-2.469991,9.065806
88,0.11,-0.701695,-2.751147,8.894719
89,0.11125,-0.234496,-2.9336,9.56471
90,0.1125,-0.234496,-2.361715,9.394819
91,0.11375,-0.711266,-2.430509,9.664012
92,0.115,-0.580259,-2.415554,9.579067
93,0.11625,-0.945164,-2.577069,9.433104
94,0.11750000000000001,-0.931406,-2.577069,9.404391
95,0.11875000000000001,-1.118046,-2.982055,9.259625
96,0.12,-1.00319,-3.384049,9.142376
97,0.12125,-0.946361,-3.650849,9.011968
98,0.1225,-1.044467,-3.861417,9.011968
99,0.12375,-1.147956,-4.10369,8.842077
100,0.125,-1.197009,-4.15394,8.718847
101,0.12625,-1.197009,-4.257429,8.52443
102,0.1275,-1.301097,-4.611567,8.317451
103,0.12875,-1.913061,-4.42732,8.193622
104,0.13,-1.747358,-4.547559,7.829315
105,0.13125,-2.072782,-4.184448,7.582256
106,0.1325,-1.938186,-4.184448,7.31426
107,0.13375,-1.528415,-3.734597,7.370491
108,0.135,-1.628913,-3.336192,7.333403
109,0.13625,-1.892722,-2.633301,7.338188
110,0.1375,-2.026122,-2.157727,10.670792
111,0.13875,-3.644268,-0.836889,10.670792
112,0.14,-3.004188,-0.082552,1.08993
113,0.14125000000000001,-1.311266,-1.368694,10.182058
114,0.14250000000000002,-2.688336,-0.690329,8.513064
115,0.14375000000000002,-2.041077,0.315852,6.18066
116,0.145,-2.465803,0.096909,6.95414
117,0.14625,-2.044666,0.306281,7.647461
118,0.1475,-2.044666,1.107278,6.92423
119,0.14875,-1.656431,1.829312,7.091129
120,0.15,-1.325025,2.290529,7.775477
121,0.15125,-0.844068,2.290529,7.700701
122,0.1525,-0.437886,2.678166,7.589435
123,0.15375,-0.126221,3.087339,7.875377
124,0.155,0.147158,3.318844,8.114659
125,0.15625,0.412761,3.518645,8.114659
126,0.1575,0.637687,3.617947,8.151748
127,0.15875,0.749551,3.808177,8.22114
128,0.16,0.930807,4.08036,8.347959
129,0.16125,0.930807,4.325026,8.437092
130,0.1625,1.137188,4.51047,8.50768
131,0.16375,1.252642,4.51047,8.552546
132,0.165,1.36331,4.71386,8.657232
133,0.16625,1.445863,5.058426,8.611768
134,0.1675,1.551745,5.468796,8.903094
135,0.16875,1.697109,6.15733,9.114261
136,0.17,1.743769,6.803392,9.177671
137,0.17125,1.819741,7.472784,9.177671
138,0.17250000000000001,1.703689,8.052446,9.355338
139,0.17375000000000002,1.741974,8.458029,9.936794
140,0.17500000000000002,1.710269,8.736793,10.423135
141,0.17625,1.67019,8.957531,10.654042
142,0.1775,1.694118,9.165108,10.730612
143,0.17875,3.149552,9.488139,11.033903
144,0.18,3.149552,9.340981,10.574481
145,0.18125,1.556531,8.978468,11.355139
146,0.1825,1.914258,8.903692,10.983055
147,0.18375,1.791625,8.864809,10.876575
148,0.185,1.779063,8.739186,10.779067
149,0.18625,1.634297,8.739186,10.439286
150,0.1875,2.088335,8.719445,9.618548
151,0.18875,1.709671,8.515457,12.076575
152,0.19,1.500897,7.345965,12.076575
153,0.19125,1.061216,7.433901,9.757332
154,0.1925,1.144367,7.250252,9.698109
155,0.19375,1.18684,6.763313,10.563713
156,0.195,1.165902,6.544968,9.793224
157,0.19625,1.161117,6.583253,9.166305
158,0.1975,1.031306,6.571289,9.413364
159,0.19875,0.843469,6.516852,9.487541
160,0.2,0.765105,6.51087,9.439086
161,0.20125,0.747757,6.48754,9.480363
162,0.2025,0.80997,6.529414,9.6012
163,0.20375000000000001,0.80997,6.556932,9.635298
164,0.20500000000000002,0.78664,6.582654,9.65803
165,0.20625000000000002,0.78664,6.579065,9.725627
166,0.20750000000000002,0.79322,6.665805,9.81117
167,0.20875,0.891326,6.665805,9.914062
168,0.21,0.914656,6.74417,9.988837
169,0.21125,0.917647,6.698706,10.025328
170,0.2125,0.97986,6.647261,10.099505
171,0.21375,1.004985,6.496513,10.099505
172,0.215,1.010369,6.461219,10.052247
173,0.21625,1.015753,6.29731,10.040881
174,0.2175,1.021735,5.936592,9.938588
175,0.21875,1.107876,5.577071,9.876375
176,0.22,1.107876,5.26062,9.602397
177,0.22125,1.172483,5.074578,9.402596
178,0.2225,1.244865,4.843671,9.211768
179,0.22375,1.211964,4.462015,9.093922
180,0.225,1.149153,4.462015,9.008977
181,0.22625,0.964905,3.985844,8.825327
182,0.2275,0.817747,3.518645,8.65125
183,0.22875,0.70648,3.151945,8.469395
184,0.23,0.646062,2.998804,8.337192
185,0.23125,0.716052,2.852244,8.180462
186,0.2325,0.701695,2.63689,8.205586
187,0.23375,0.682552,2.331207,8.175676
188,0.23500000000000001,0.665802,2.146361,8.175676
189,0.23625000000000002,0.662811,2.07697,8.078767
190,0.23750000000000002,0.647856,1.858624,8.02433
191,0.23875000000000002,0.692722,1.625922,7.980063
192,0.24,0.627517,1.196411,8.069794
193,0.24125,0.627517,0.704686,8.002795
194,0.2425,0.467198,0.177068,7.981259
195,0.24375,0.211764,-0.17647,7.905287
196,0.245,-0.037686,-0.558125,7.882555
197,0.24625,-0.177667,-0.558125,7.837092
198,0.2475,-0.276969,-1.098305,7.730611
199,0.24875,-0.444466,-1.905883,7.640282
200,0.25,-0.610169,-2.805584,7.432705
201,0.25125000000000003,-0.795015,-3.656232,7.233502
202,0.2525,-1.077368,-4.316053,7.098906
203,0.25375000000000003,-1.262812,-4.83051,7.098906
204,0.255,-1.344168,-5.286343,7.018148
205,0.25625,-1.362712,-5.701498,6.911069
206,0.2575,-1.421934,-6.069992,7.004988
207,0.25875,-1.421934,-6.49412,7.057032
208,0.26,-1.45663,-6.763313,7.023532
209,0.26125,-1.62353,-6.932007,7.18744
210,0.2625,-1.709073,-6.986443,7.225726
211,0.26375,-1.588236,-6.986443,7.328019
212,0.265,-1.641476,-6.921837,7.359724
213,0.26625,-1.640279,-6.812365,7.576872
214,0.2675,-1.628913,-6.812365,7.708478
215,0.26875,-1.551745,-6.716653,7.790432
216,0.27,-1.538584,-6.629913,7.843074
217,0.27125,-1.454836,-6.573083,7.843074
218,0.2725,-1.360917,-6.548557,7.916055
219,0.27375,-1.295713,-6.550351,7.916653
220,0.275,-1.145563,-6.455835,7.8676
221,0.27625,-1.207777,-6.375077,7.86102
222,0.2775,-1.234098,-6.388836,7.829315
223,0.27875,-1.298704,-6.48754,7.791628
224,0.28,-1.298704,-6.600002,7.773682
225,0.28125,-1.399801,-6.600002,7.773682
226,0.28250000000000003,-1.503889,-6.755536,7.686942
227,0.28375,-1.503889,-6.755536,7.592426
228,0.28500000000000003,-1.572084,-6.865606,7.592426
229,0.28625,-1.572084,-6.865606,7.579863
230,0.28750000000000003,-1.314856,-6.805785,7.579863
231,0.28875,-1.314856,-6.734001,7.478168
232,0.29,-1.375872,-6.734001,7.478168
233,0.29125,-1.375872,-6.522236,7.445865
234,0.2925,-1.287338,-6.522236,7.445865
235,0.29375,-1.168295,-6.105885,7.439883
236,0.295,-1.168295,-6.105885,7.439883
237,0.29625,-1.058225,-5.730211,7.426723
238,0.2975,-1.058225,-5.730211,7.423133
239,0.29875,-0.825523,-5.202594,7.423133
240,0.3,-0.825523,-5.202594,7.467401
241,0.30125,-0.828514,-4.931607,7.467401
242,0.3025,-0.828514,-4.931607,7.584051
243,0.30375,-0.579063,-4.346562,7.584051
244,0.305,-0.605982,-4.075575,7.489534
245,0.30625,-0.605982,-4.075575,7.489534
246,0.3075,-0.545563,-3.63709,7.439883
247,0.30875,-0.545563,-3.281157,7.281957
248,0.31,-0.527019,-3.281157,7.281957
249,0.31125,-0.577268,-2.9671,7.09771
