,t,ax,ay,az,wx,wy,wz
0,0.0,-2.252842,-1.482951,8.380861,-1.728595,2.003637,-0.068416
1,0.00125,-2.638685,-1.707877,8.51785,-1.726762,1.994321,-0.137597
2,0.0025,-2.976073,-1.86999,8.97787,-1.715614,1.915214,-0.191964
3,0.00375,-3.635893,-2.114058,9.256036,-1.690111,1.767996,-0.233503
4,0.005,-3.920639,-2.140978,9.480363,-1.648419,1.544725,-0.281914
5,0.00625,-4.205385,-2.318046,9.510273,-1.588554,1.319774,-0.334143
6,0.0075,-4.155734,-2.366501,9.36132,-1.501201,1.152549,-0.400116
7,0.00875,-4.158725,-2.453241,8.955138,-1.411098,1.00136,-0.461355
8,0.01,-4.078566,-2.578864,8.683553,-1.341765,0.923475,-0.534965
9,0.01125,-4.017549,-2.867199,8.177471,-1.263879,0.867886,-0.59147
10,0.0125,-3.94038,-3.065205,8.158328,-1.178053,0.800386,-0.657138
11,0.01375,-4.094119,-3.332603,8.37428,-1.095892,0.729525,-0.719599
12,0.015,-4.161118,-3.768695,8.743971,-0.975857,0.623845,-0.755029
13,0.01625,-4.419543,-3.790829,9.068199,-0.885296,0.50488,-0.77534
14,0.0175,-4.452444,-3.437887,9.578468,-0.823904,0.365755,-0.78939
15,0.01875,-4.234697,-3.215953,9.738189,-0.800844,0.259923,-0.807105
16,0.02,-4.187439,-3.031108,9.71127,-0.802218,0.15913,-0.831081
17,0.02125,-4.19701,-3.039482,9.285946,-0.814588,0.065973,-0.86025
18,0.0225,-4.118047,-3.132802,8.962317,-0.818864,-0.021227,-0.8827
19,0.02375,-4.094119,-3.272184,8.672785,-0.812603,-0.082008,-0.911716
20,0.025,-4.052843,-3.358924,8.268398,-0.810312,-0.167529,-0.964097
21,0.02625,-4.077369,-3.32363,7.993822,-0.829707,-0.27382,-1.045342
22,0.0275,-4.304089,-3.525225,8.01775,-0.850171,-0.423787,-1.109941
23,0.02875,-4.341178,-3.81715,8.322237,-0.838106,-0.597273,-1.156673
24,0.03,-4.299902,-4.193421,8.459226,-0.791223,-0.759763,-1.182787
25,0.03125,-4.138984,-4.365106,8.903692,-0.705243,-0.887587,-1.203862
26,0.0325,-3.595215,-4.451248,9.062217,-0.629801,-0.934776,-1.217301
27,0.03375,-3.326023,-4.48714,9.317651,-0.527482,-0.957531,-1.22906
28,0.035,-3.141776,-4.487738,9.177671,-0.423176,-0.969595,-1.237307
29,0.03625,-3.059223,-4.405186,9.077172,-0.347887,-0.982729,-1.242805
30,0.0375,-3.000001,-4.297509,8.989236,-0.292298,-0.995404,-1.248302
31,0.03875,-2.906083,-4.097708,8.916853,-0.255494,-1.016479,-1.267392
32,0.04,-2.910868,-3.969692,8.931808,-0.256716,-1.057407,-1.296713
33,0.04125,-3.015554,-3.906282,8.482556,-0.286343,-1.130864,-1.331227
34,0.0425,-3.114258,-3.87697,8.513064,-0.319635,-1.230435,-1.350928
35,0.043750000000000004,-3.127419,-3.957728,8.565706,-0.342848,-1.346499,-1.355815
36,0.045,-3.008974,-4.125824,8.403592,-0.352774,-1.426064,-1.359785
37,0.04625,-2.791227,-4.268795,8.430512,-0.365297,-1.51861,-1.365741
38,0.0475,-2.447857,-4.694119,8.562715,-0.359952,-1.556331,-1.373682
39,0.04875,-2.13021,-5.041079,8.813363,-0.334906,-1.581377,-1.3859
40,0.05,-1.661217,-5.292325,9.062815,-0.271376,-1.58718,-1.388954
41,0.051250000000000004,-1.519442,-5.397609,9.257232,-0.174707,-1.579239,-1.385289
42,0.0525,-1.448854,-5.461617,9.346963,-0.081855,-1.539227,-1.381624
43,0.05375,-1.351346,-5.495117,9.387043,0.047494,-1.486998,-1.38422
44,0.055,-1.308873,-5.591428,9.190831,0.194102,-1.446375,-1.400713
45,0.05625,-1.267597,-5.584249,9.00778,0.313831,-1.410334,-1.412472
46,0.0575,-1.358525,-5.466403,8.801997,0.474794,-1.412014,-1.439503
47,0.058750000000000004,-1.457228,-5.331806,8.559724,0.619722,-1.474781,-1.46745
48,0.06,-1.604387,-5.301896,8.703892,0.76465,-1.576948,-1.460273
49,0.06125,-1.321436,-5.154738,8.819345,0.88667,-1.67377,-1.447597
50,0.0625,-1.120439,-5.210371,9.380462,1.000444,-1.737758,-1.423315
51,0.06375,-0.695713,-5.228317,9.82792,1.130253,-1.75868,-1.395215
52,0.065,-0.121435,-5.376672,9.957133,1.304807,-1.699732,-1.37918
53,0.06625,0.30987,-5.499902,10.1348,1.476613,-1.604895,-1.369865
54,0.0675,0.369092,-5.671587,10.176076,1.676672,-1.507004,-1.376889
55,0.06875,0.40977,-5.79063,10.129416,1.883755,-1.423315,-1.380249
56,0.07,0.247657,-5.647061,9.945168,2.144747,-1.365588,-1.380249
57,0.07125000000000001,0.213559,-5.231308,9.766903,2.391995,-1.338863,-1.341154
58,0.0725,0.227318,-4.301098,9.43789,2.573421,-1.318552,-1.307251
59,0.07375,0.420538,-3.811168,9.409774,2.652376,-1.318857,-1.252273
60,0.075,0.482153,-3.058027,9.540781,2.709644,-1.33138,-1.189354
61,0.07625,0.661615,-2.633301,9.645467,2.713768,-1.3381,-1.127656
62,0.0775,0.859621,-2.231307,9.975079,2.688417,-1.31,-1.074359
63,0.07875,1.213759,-2.050648,10.190433,2.641991,-1.265407,-1.029154
64,0.08,1.344168,-1.655235,10.555936,2.560899,-1.18691,-1.012508
65,0.08125,1.486541,-1.651047,10.836495,2.514778,-1.108109,-1.003956
66,0.0825,1.584048,-1.848455,10.835897,2.487748,-1.012203,-0.998
67,0.08375,1.679761,-1.858624,10.862816,2.488969,-0.920879,-1.001055
68,0.085,1.788634,-1.970489,10.735398,2.507448,-0.828333,-0.995099
69,0.08625000000000001,1.865205,-1.941775,10.721639,2.540587,-0.724638,-0.977995
70,0.08750000000000001,1.898704,-1.794616,10.630114,2.560288,-0.652098,-0.958752
71,0.08875,1.861017,-1.573879,10.551749,2.569756,-0.608727,-0.942412
72,0.09,1.701296,-1.405783,10.576874,2.57556,-0.589637,-0.912785
73,0.09125,1.592423,-1.405783,10.580463,2.568993,-0.577572,-0.885907
74,0.0925,1.607378,-1.161117,10.491928,2.556623,-0.571617,-0.861777
75,0.09375,1.633101,-0.914058,10.496116,2.534021,-0.57238,-0.842382
76,0.095,1.660618,-0.625124,10.512866,2.503936,-0.581543,-0.83383
77,0.09625,1.61336,-0.407378,10.520642,2.477821,-0.601243,-0.830318
78,0.0975,1.56012,-0.149551,10.458429,2.454761,-0.6269,-0.821308
79,0.09875,1.593021,-0.149551,10.374082,2.438573,-0.651334,-0.806036
80,0.1,1.612164,-0.039481,10.286744,2.430326,-0.669355,-0.799622
81,0.10125,1.777268,-0.011964,10.261619,2.427883,-0.681114,-0.79107
82,0.10250000000000001,1.929213,-0.022133,10.32144,2.444224,-0.69211,-0.773049
83,0.10375000000000001,2.082952,0.284745,10.315458,2.473087,-0.686459,-0.751669
84,0.105,2.207378,0.591625,10.341181,2.494467,-0.665842,-0.733801
85,0.10625,2.273779,0.707079,10.384251,2.503936,-0.620791,-0.711352
86,0.1075,2.446661,0.938584,10.283753,2.514778,-0.549167,-0.66966
87,0.10875,2.492722,1.168295,10.110871,2.513862,-0.479681,-0.625525
88,0.11,2.521436,1.319043,9.956534,2.485151,-0.428674,-0.578947
89,0.11125,2.361715,1.643869,9.929017,2.435671,-0.398284,-0.529009
90,0.1125,2.305484,2.071586,10.010971,2.34786,-0.386219,-0.497855
91,0.11375,2.348555,2.37368,10.023533,2.25287,-0.393244,-0.496327
92,0.115,2.275574,2.388635,10.174281,2.15895,-0.401338,-0.483347
93,0.11625,2.366501,2.56032,10.05464,2.089769,-0.386219,-0.473115
94,0.11750000000000001,2.550748,2.514856,9.909874,2.042122,-0.342695,-0.447305
95,0.11875000000000001,2.672184,2.669193,9.758528,2.011273,-0.274736,-0.427605
96,0.12,2.828316,2.99043,9.67119,1.976301,-0.200058,-0.399811
97,0.12125,2.871985,3.135794,9.595218,1.930791,-0.137444,-0.36041
98,0.1225,2.790031,3.440878,9.506684,1.876424,-0.100945,-0.3149
99,0.12375,2.642274,3.592823,9.473184,1.793347,-0.070249,-0.266489
100,0.125,2.621935,3.929014,9.372686,1.690569,-0.040164,-0.231517
