,t,ax,ay,az,wx,wy,wz
0,0.0,-0.172283,-0.772283,10.015757,-0.347734,-0.254119,0.096669
1,0.00125,-0.244067,-0.63649,10.176674,-0.342542,-0.25137,0.081855
2,0.0025,-0.303888,-0.558125,10.244271,-0.33903,-0.252287,0.065973
3,0.00375,-0.333798,-0.486341,10.269396,-0.343,-0.249843,0.043065
4,0.005,-0.25663,-0.425922,10.301699,-0.346971,-0.249232,0.027947
5,0.00625,-0.212363,-0.478564,10.336395,-0.351247,-0.243582,0.009926
6,0.0075,-0.224327,-0.524028,10.377671,-0.360868,-0.235793,-0.007024
7,0.00875,-0.134596,-0.61316,10.385448,-0.372475,-0.228921,-0.018936
8,0.01,-0.145962,-0.689132,10.453045,-0.383928,-0.222813,-0.026725
9,0.01125,-0.111864,-0.803988,10.562517,-0.38179,-0.224951,-0.025656
10,0.0125,-0.055034,-0.841675,10.645667,-0.370947,-0.214566,-0.029626
11,0.01375,-0.092721,-0.9332,10.77129,-0.353232,-0.198836,-0.039706
12,0.015,-0.11306,-0.975673,10.78804,-0.334601,-0.188451,-0.045509
13,0.01625,-0.042472,-1.04327,10.825129,-0.317497,-0.184786,-0.057726
14,0.0175,-0.100498,-1.049252,10.854441,-0.302225,-0.18219,-0.063224
15,0.01875,-0.01974,-1.08993,10.852048,-0.288022,-0.178678,-0.069944
16,0.02,-0.095712,-1.135394,10.91486,-0.280692,-0.179136,-0.087811
17,0.02125,-0.055633,-1.295713,10.995019,-0.269849,-0.173791,-0.101403
18,0.0225,-0.120837,-1.359123,11.081759,-0.254425,-0.172722,-0.111941
19,0.02375,-0.154935,-1.48355,11.100304,-0.231976,-0.165849,-0.117286
20,0.025,-0.098703,-1.521236,11.120643,-0.213039,-0.153632,-0.100487
21,0.02625,-0.035294,-1.529611,11.197213,-0.184633,-0.143858,-0.074983
22,0.0275,-0.04666,-1.547558,11.222337,-0.1715,-0.133779,-0.058948
23,0.02875,0.011365,-1.428515,11.296515,-0.162337,-0.127059,-0.034666
24,0.03,-0.002991,-1.400399,11.406585,-0.162337,-0.118355,-0.019547
25,0.03125,-0.010767,-1.382453,11.470593,-0.164017,-0.111635,-0.008857
26,0.0325,-0.004785,-1.45005,11.532208,-0.163559,-0.10461,0.0
27,0.03375,0.010767,-1.539183,11.580663,-0.158366,-0.101556,0.002748
28,0.035,0.03649,-1.660618,11.620742,-0.140498,-0.09056,-0.000152
29,0.03625,0.040677,-1.773679,11.658429,-0.107206,-0.082161,-0.00565
30,0.0375,0.05324,-1.826321,11.690733,-0.07819,-0.070707,-0.010995
31,0.03875,0.029312,-1.901695,11.786445,-0.034666,-0.063988,-0.016187
32,0.04,0.086739,-1.877767,11.810374,0.000458,-0.056505,-0.017104
33,0.04125,0.111864,-1.909472,11.850453,0.043676,-0.038942,-0.016187
34,0.0425,0.167497,-1.815554,11.877971,0.074067,-0.020922,-0.012828
35,0.043750000000000004,0.338584,-1.730608,11.949157,0.095905,0.003054,-0.010231
36,0.045,0.368494,-1.724028,11.906087,0.111941,0.032528,-0.01069
37,0.04625,0.439082,-1.74018,11.890533,0.138819,0.080786,-0.011301
38,0.0475,0.395413,-1.777867,11.86481,0.160657,0.1237,-0.011606
39,0.04875,0.429511,-1.828116,11.78824,0.195934,0.163864,-0.004428
40,0.05,0.38644,-1.871187,11.674581,0.232128,0.201432,-0.00397
41,0.051250000000000004,0.285344,-1.85025,11.60818,0.264046,0.229379,0.006108
42,0.0525,0.291326,-1.752742,11.467602,0.286648,0.255036,0.028557
43,0.05375,0.338584,-1.684547,11.353345,0.300087,0.278707,0.039858
44,0.055,0.291924,-1.444666,11.283953,0.295658,0.303141,0.060781
45,0.05625,0.262612,-1.274776,11.185847,0.280234,0.331547,0.069638
46,0.0575,0.232103,-1.202991,11.081759,0.251981,0.359035,0.068416
47,0.058750000000000004,0.143569,-1.11326,11.006385,0.233045,0.391259,0.068111
48,0.06,0.005383,-1.128814,10.847263,0.220522,0.412792,0.065973
49,0.06125,-0.123828,-1.11326,10.76471,0.216551,0.414777,0.065973
50,0.0625,-0.375673,-1.103689,10.643274,0.219453,0.406378,0.076205
51,0.06375,-0.451645,-1.209571,10.507482,0.241902,0.393091,0.097127
52,0.065,-0.502492,-1.202393,10.40459,0.271682,0.37446,0.120951
53,0.06625,-0.533001,-1.161117,10.308877,0.300545,0.357203,0.128892
54,0.0675,-0.59342,-1.01336,10.210174,0.320551,0.346207,0.128892
55,0.06875,-0.554536,-0.904486,10.159924,0.330172,0.340862,0.126143
56,0.07,-0.491126,-0.714257,10.010373,0.323453,0.33903,0.121867
57,0.07125000000000001,-0.464805,-0.698105,9.945168,0.314442,0.344986,0.114995
58,0.0725,-0.439681,-0.480359,9.865607,0.286801,0.343611,0.110413
59,0.07375,-0.535394,-0.454636,9.848259,0.262366,0.342084,0.101709
60,0.075,-0.528215,-0.407378,9.742377,0.223729,0.340862,0.089033
61,0.07625,-0.494716,-0.41336,9.673583,0.1912,0.343,0.075289
62,0.0775,-0.524626,-0.308674,9.616155,0.16081,0.334295,0.057574
63,0.07875,-0.620937,-0.354735,9.608977,0.133626,0.324369,0.043371
64,0.08,-0.680159,-0.621535,9.57129,0.133321,0.307265,0.020769
65,0.08125,-0.675972,-0.834496,9.488738,0.175165,0.301767,-0.001679
66,0.0825,-0.754935,-1.087537,9.418747,0.241444,0.293367,-0.0197
67,0.08375,-0.857228,-1.201196,9.31466,0.320856,0.273056,-0.02306
68,0.085,-0.961316,-1.109671,9.180662,0.386983,0.250149,-0.017409
69,0.08625000000000001,-0.999003,-0.974477,9.000602,0.434477,0.220522,0.000458
70,0.08750000000000001,-0.994815,-0.783051,8.963513,0.452192,0.180205,0.034666
71,0.08875,-0.999003,-0.477368,8.839684,0.440891,0.141109,0.058643
72,0.09,-0.915852,-0.252442,8.794221,0.403934,0.099723,0.069944
73,0.09125,-0.69332,-0.095114,8.794221,0.346971,0.079717,0.056657
74,0.0925,-0.544367,-0.0999,8.830113,0.290619,0.080176,0.028863
75,0.09375,-0.443868,-0.230309,8.793024,0.253967,0.095294,-0.004886
76,0.095,-0.416351,-0.340379,8.819345,0.226172,0.118355,-0.03375
77,0.09625,-0.439681,-0.535394,8.784649,0.213344,0.138055,-0.075136
78,0.0975,-0.457627,-0.677767,8.686544,0.20861,0.161879,-0.102014
79,0.09875,-0.528813,-0.866201,8.602197,0.217926,0.176387,-0.129656
80,0.1,-0.597009,-0.950548,8.545965,0.234114,0.188757,-0.134695
81,0.10125,-0.679561,-0.945164,8.385646,0.251676,0.178983,-0.115148
82,0.10250000000000001,-0.792622,-0.93679,8.329415,0.260075,0.158977,-0.083841
83,0.10375000000000001,-0.857826,-0.789631,8.167899,0.261908,0.12538,-0.035888
84,0.105,-0.848255,-0.6999,8.066803,0.246178,0.096363,0.014049
85,0.10625,-0.714855,-0.501296,8.051848,0.214566,0.077885,0.050396
86,0.1075,-0.683749,-0.265603,8.002795,0.170736,0.074983,0.069791
87,0.10875,-0.658026,-0.212363,7.950751,0.135459,0.083841,0.072082
88,0.11,-0.541974,-0.107078,7.956135,0.083688,0.107664,0.059253
89,0.11125,-0.590428,-0.010169,7.887341,0.035124,0.12202,0.049327
90,0.1125,-0.743569,0.073579,7.80419,-0.01298,0.131641,0.03543
91,0.11375,-0.871585,0.120239,7.75095,-0.060628,0.12767,0.031306
92,0.115,-1.077966,0.099302,7.758129,-0.101403,0.11133,0.029932
93,0.11625,-1.156331,0.072981,7.733602,-0.13775,0.072387,0.030543
94,0.11750000000000001,-1.260419,0.014356,7.846065,-0.154701,0.031612,0.036804
95,0.11875000000000001,-1.345364,0.061615,7.829913,-0.169209,-0.024892,0.045662
96,0.12,-1.420738,-0.018544,7.902894,-0.172111,-0.066737,0.052687
97,0.12125,-1.364507,-0.062811,7.967501,-0.171653,-0.112246,0.052992
98,0.1225,-1.313659,-0.08973,8.019544,-0.167987,-0.146302,0.050396
99,0.12375,-1.26999,-0.107078,8.07757,-0.164933,-0.180205,0.045356
100,0.125,-1.172483,-0.161515,8.240282,-0.162642,-0.1996,0.03711
101,0.12625,-1.095912,-0.175274,8.262416,-0.163864,-0.215177,0.014202
102,0.1275,-1.150947,-0.145962,8.338986,-0.167682,-0.225409,-0.004581
103,0.12875,-1.100698,-0.154935,8.441279,-0.172874,-0.236099,-0.02138
104,0.13,-1.078564,-0.205782,8.47119,-0.176998,-0.251523,-0.035735
105,0.13125,-1.05344,-0.261415,8.522635,-0.176387,-0.266031,-0.043829
106,0.1325,-1.083948,-0.223728,8.549555,-0.176692,-0.287259,-0.045051
107,0.13375,-1.007976,-0.317048,8.702695,-0.174707,-0.316733,-0.03772
108,0.135,-1.004985,-0.245264,8.822336,-0.180052,-0.345749,-0.022602
109,0.13625,-0.926022,-0.218943,8.925826,-0.187993,-0.371558,-0.002138
110,0.1375,-0.787238,-0.180059,9.106484,-0.205097,-0.387593,0.007941
111,0.13875,-0.668793,-0.187836,9.218947,-0.227852,-0.397673,0.013591
112,0.14,-0.503689,-0.135792,9.295517,-0.266489,-0.3992,0.018478
113,0.14125000000000001,-0.430109,-0.049052,9.370891,-0.295047,-0.391259,0.018631
114,0.14250000000000002,-0.354137,-0.2333,9.555138,-0.333532,-0.377056,0.003817
115,0.14375000000000002,-0.224327,-0.270388,9.611968,-0.359799,-0.354301,-0.009621
116,0.145,-0.278165,-0.413958,9.667601,-0.381637,-0.337044,-0.018784
117,0.14625,-0.237487,-0.449252,9.732805,-0.393091,-0.312762,-0.032833
118,0.1475,-0.297308,-0.66341,9.745966,-0.401491,-0.291688,-0.050701
119,0.14875,-0.355932,-0.720239,9.779465,-0.403476,-0.273362,-0.065057
120,0.15,-0.422333,-0.76989,9.810572,-0.395687,-0.260992,-0.068722
121,0.15125,-0.406779,-0.924825,9.926624,-0.38179,-0.255341,-0.075747
122,0.1525,-0.512662,-0.991226,9.969695,-0.366977,-0.252287,-0.071623
123,0.15375,-0.532403,-0.946959,10.062417,-0.352316,-0.255341,-0.059253
124,0.155,-0.474377,-1.0666,10.092925,-0.335364,-0.253967,-0.041844
125,0.15625,-0.387637,-1.086939,10.145567,-0.312915,-0.251676,-0.032986
126,0.1575,-0.410369,-1.091127,10.144969,-0.297185,-0.249538,-0.023671
127,0.15875,-0.346959,-1.055832,10.208379,-0.290466,-0.249385,-0.013286
128,0.16,-0.388235,-0.965503,10.186245,-0.286343,-0.253356,-0.009621
129,0.16125,-0.422931,-0.980459,10.17787,-0.289855,-0.253814,-0.003817
130,0.1625,-0.392422,-0.879362,10.180861,-0.299782,-0.255647,-0.001832
131,0.16375,-0.457627,-0.906879,10.184451,-0.310777,-0.267864,-0.004276
132,0.165,-0.472582,-0.963111,10.233504,-0.326507,-0.276721,-0.013286
133,0.16625,-0.537786,-0.972084,10.284949,-0.342848,-0.293062,-0.024587
134,0.1675,-0.591625,-1.015154,10.381859,-0.352621,-0.31261,-0.02306
135,0.16875,-0.582652,-1.152742,10.517651,-0.348803,-0.332005,-0.020922
136,0.17,-0.478564,-1.237089,10.597811,-0.332157,-0.339335,-0.015271
137,0.17125,-0.497108,-1.399801,10.733603,-0.300087,-0.346055,-0.006719
138,0.17250000000000001,-0.43669,-1.400399,10.822736,-0.269238,-0.350789,0.009773
139,0.17375000000000002,-0.410369,-1.438086,10.834102,-0.233197,-0.350789,0.022602
140,0.17500000000000002,-0.261415,-1.351346,10.834102,-0.202654,-0.345902,0.041691
141,0.17625,-0.282353,-1.268794,10.930413,-0.187993,-0.348193,0.056505
142,0.1775,-0.158524,-1.112064,10.97468,-0.182037,-0.347887,0.081245
143,0.17875,-0.084945,-1.089332,11.105089,-0.193949,-0.346207,0.08491
144,0.18,0.048454,-1.083948,11.147562,-0.200669,-0.33063,0.08659
145,0.18125,0.188434,-1.1001,11.21157,-0.209374,-0.310624,0.083535
146,0.1825,0.221934,-1.177268,11.418549,-0.21426,-0.290008,0.077427
147,0.18375,0.329013,-1.235294,11.528021,-0.213344,-0.259617,0.058337
148,0.185,0.352941,-1.266401,11.636296,-0.209221,-0.231976,0.0394
149,0.18625,0.360119,-1.389033,11.790633,-0.193949,-0.20189,0.026572
150,0.1875,0.301495,-1.387238,11.831311,-0.171653,-0.175776,0.021685
151,0.18875,0.278763,-1.45663,11.988041,-0.138055,-0.157908,0.025656
152,0.19,0.174077,-1.464407,12.067602,-0.115453,-0.147371,0.036499
153,0.19125,0.20997,-1.511067,12.067602,-0.080176,-0.142331,0.060933
154,0.1925,0.138185,-1.479362,12.148958,-0.050243,-0.135764,0.075289
155,0.19375,0.241076,-1.471585,12.177672,-0.023823,-0.110108,0.089033
156,0.195,0.399601,-1.418345,12.174083,0.004276,-0.075594,0.089949
157,0.19625,0.497108,-1.432104,12.241082,0.030085,-0.034819,0.074983
158,0.1975,0.545563,-1.406381,12.244073,0.057115,0.016798,0.06017
159,0.19875,0.588036,-1.434497,12.18844,0.085521,0.073151,0.047647
160,0.2,0.531804,-1.403988,12.131012,0.107359,0.111482,0.03375
161,0.20125,0.525822,-1.436291,12.041879,0.12767,0.140651,0.019853
162,0.2025,0.499501,-1.458425,11.910274,0.151036,0.168751,0.001985
163,0.20375000000000001,0.409172,-1.50688,11.840882,0.181579,0.188757,-0.007483
164,0.20500000000000002,0.332004,-1.551147,11.740982,0.213039,0.203112,-0.011759
165,0.20625000000000002,0.276371,-1.569093,11.617153,0.244193,0.205097,-0.003665
166,0.20750000000000002,0.259023,-1.584048,11.517851,0.28283,0.218384,0.009315
167,0.20875,0.297308,-1.606182,11.431709,0.31658,0.232586,0.022296
168,0.21,0.355932,-1.455434,11.371889,0.345444,0.268475,0.029626
169,0.21125,0.358325,-1.307677,11.195418,0.361784,0.306196,0.03207
170,0.2125,0.346959,-1.15334,11.085947,0.365602,0.339946,0.026114
171,0.21375,0.237487,-1.066002,10.917851,0.353385,0.363922,0.022449
172,0.215,0.118444,-0.999601,10.801201,0.344375,0.389884,0.026572
173,0.21625,0.035892,-0.988833,10.651649,0.334906,0.399811,0.04108
174,0.2175,-0.105882,-0.961316,10.487143,0.329714,0.399505,0.052076
175,0.21875,-0.205782,-0.93679,10.387841,0.32727,0.395229,0.050243
176,0.22,-0.262612,-0.964905,10.345368,0.33567,0.387593,0.05849
177,0.22125,-0.292522,-0.950548,10.208379,0.344069,0.383317,0.056505
178,0.2225,-0.346361,-0.857826,10.147362,0.347429,0.381637,0.046425
179,0.22375,-0.40319,-0.760917,9.990034,0.354149,0.368198,0.0394
180,0.225,-0.495314,-0.784845,9.854839,0.355828,0.34972,0.040927
181,0.22625,-0.538983,-0.694516,9.735796,0.358119,0.330783,0.044898
182,0.2275,-0.623928,-0.647258,9.673583,0.355981,0.298254,0.051923
183,0.22875,-0.64008,-0.544965,9.536594,0.355523,0.268322,0.066889
184,0.23,-0.589232,-0.511465,9.422337,0.353996,0.238848,0.062155
185,0.23125,-0.521037,-0.414556,9.459425,0.342848,0.213802,0.054061
186,0.2325,-0.552742,-0.381056,9.456434,0.325743,0.196087,0.038789
187,0.23375,-0.507876,-0.39003,9.465407,0.311388,0.187993,0.019242
188,0.23500000000000001,-0.489332,-0.422333,9.415756,0.295658,0.186008,-0.018784
189,0.23625000000000002,-0.480359,-0.53001,9.340981,0.296269,0.200058,-0.048563
190,0.23750000000000002,-0.43669,-0.621535,9.267401,0.309708,0.210443,-0.063529
191,0.23875000000000002,-0.531206,-0.611366,9.185447,0.321467,0.210595,-0.067958
192,0.24,-0.541974,-0.555134,9.017351,0.33735,0.205708,-0.066737
193,0.24125,-0.69332,-0.51984,8.958129,0.344222,0.196087,-0.048716
194,0.2425,-0.728614,-0.252442,8.933004,0.339182,0.166155,-0.016187
195,0.24375,-0.818943,-0.165104,8.824729,0.326049,0.135001,0.008246
196,0.245,-0.882951,-0.044267,8.755337,0.30421,0.101403,0.026419
197,0.24625,-0.859621,-0.013758,8.740382,0.278859,0.071929,0.043676
198,0.2475,-0.914656,0.02991,8.659624,0.248469,0.034819,0.064598
199,0.24875,-0.824925,-0.011365,8.638687,0.208915,0.009773,0.072387
200,0.25,-0.595812,-0.062811,8.629714,0.177914,0.00733,0.066584
201,0.25125000000000003,-0.482751,-0.148355,8.636294,0.154396,0.025656,0.052228
202,0.2525,-0.403788,-0.241675,8.610572,0.150425,0.063377,0.012675
203,0.25375000000000003,-0.33978,-0.348753,8.551947,0.153938,0.098349,-0.022143
204,0.255,-0.452243,-0.338584,8.453244,0.160352,0.113162,-0.042302
205,0.25625,-0.470189,-0.290129,8.37428,0.159741,0.109955,-0.063988
206,0.2575,-0.617348,-0.304486,8.237291,0.15409,0.09392,-0.08155
207,0.25875,-0.709471,-0.255433,8.098508,0.143858,0.057726,-0.090255
208,0.26,-0.802193,-0.29312,8.068597,0.137291,0.011759,-0.085368
209,0.26125,-0.690927,-0.3667,7.977072,0.128739,-0.01634,-0.079717
210,0.2625,-0.562911,-0.44985,7.969893,0.125532,-0.033139,-0.067347
211,0.26375,-0.4331,-0.381655,8.006982,0.111941,-0.030237,-0.05177
212,0.265,-0.42652,-0.196211,8.114061,0.085826,-0.016798,-0.040317
213,0.26625,-0.397806,-0.065204,8.067401,0.048411,0.004886,-0.026419
214,0.2675,-0.463011,-0.057427,8.04766,0.009773,0.014049,-0.010384
215,0.26875,-0.534197,0.084346,8.051249,-0.044593,0.013591,0.005345
216,0.27,-0.623928,0.151346,8.037491,-0.096822,-0.001069,0.020769
217,0.27125,-0.614357,0.100498,8.015357,-0.150883,-0.015882,0.031917
218,0.2725,-0.545563,0.003589,8.069196,-0.192727,-0.023212,0.032223
219,0.27375,-0.494117,-0.026321,8.171489,-0.23335,-0.02535,0.019089
220,0.275,-0.583848,-0.01974,8.355736,-0.271834,-0.029779,0.001985
221,0.27625,-0.719043,-0.044267,8.423931,-0.299018,-0.040927,-0.006414
222,0.2775,-0.731605,-0.062213,8.5346,-0.317191,-0.06017,-0.017562
223,0.27875,-0.89013,-0.256032,8.568697,-0.326965,-0.084146,-0.029321
224,0.28,-0.909272,-0.327218,8.690731,-0.322842,-0.113468,-0.030085
225,0.28125,-1.035493,-0.513858,8.705686,-0.301309,-0.149661,-0.005345
226,0.28250000000000003,-1.01336,-0.598803,8.855238,-0.267711,-0.18723,0.028557
227,0.28375,-0.845862,-0.665802,8.980861,-0.23335,-0.21029,0.060628
228,0.28500000000000003,-0.898504,-0.497707,9.138189,-0.211206,-0.241444,0.085062
229,0.28625,-0.942173,-0.427717,9.232706,-0.204334,-0.265115,0.107359
230,0.28750000000000003,-0.695713,-0.291326,9.413364,-0.215788,-0.275958,0.123394
231,0.28875,-0.587437,-0.148355,9.485148,-0.229379,-0.276721,0.132099
232,0.29,-0.504885,-0.143569,9.496514,-0.248622,-0.271834,0.127976
233,0.29125,-0.446261,-0.059222,9.632905,-0.282219,-0.260686,0.109192
234,0.2925,-0.428913,0.047258,9.695717,-0.316275,-0.254272,0.088575
235,0.29375,-0.39661,0.005383,9.735198,-0.344222,-0.246178,0.070554
236,0.295,-0.352941,-0.092123,9.799804,-0.376751,-0.238542,0.039553
237,0.29625,-0.353539,-0.195613,9.778269,-0.398894,-0.229837,0.013286
238,0.2975,-0.352343,-0.308075,9.795617,-0.406988,-0.219606,-0.005955
239,0.29875,-0.292522,-0.4331,9.823733,-0.413097,-0.213497,-0.021074
240,0.3,-0.251246,-0.494117,9.835697,-0.410806,-0.204945,-0.031764
241,0.30125,-0.336789,-0.630508,9.899705,-0.405156,-0.205097,-0.035888
242,0.3025,-0.350548,-0.650847,9.987043,-0.393091,-0.209374,-0.034819
243,0.30375,-0.47318,-0.70648,10.028917,-0.386677,-0.227241,-0.017867
244,0.305,-0.46002,-0.707079,10.081559,-0.376751,-0.249385,0.001527
245,0.30625,-0.474975,-0.704088,10.119246,-0.365908,-0.262519,0.010995
246,0.3075,-0.424726,-0.707677,10.104291,-0.351247,-0.269391,0.025503
247,0.30875,-0.325423,-0.753739,10.11805,-0.332921,-0.271071,0.03543
248,0.31,-0.229112,-0.712462,10.168897,-0.322536,-0.272293,0.040775
249,0.31125,-0.14656,-0.675972,10.208977,-0.310624,-0.263282,0.034361
250,0.3125,-0.168693,-0.635294,10.237691,-0.306501,-0.250149,0.021074
251,0.31375000000000003,-0.126221,-0.622732,10.270592,-0.309555,-0.239764,0.003207
252,0.315,-0.203389,-0.601794,10.319047,-0.315969,-0.231059,-0.02474
